"111,,,,,,,,"
" 區 域 別 , 性別 , 總     計 ,,,,,,"
",,,,,,,,"
", 計 ,"" 23,264,640 "",,,,,,"
" 總　　計 , 男 ,"" 11,499,136 "",,,,,,"
", 女 ,"" 11,765,504 "",,,,,,"
", 計 ,"" 3,995,551 "",,,,,,"
" 新 北 市 , 男 ,"" 1,946,890 "",,,,,,"
", 女 ,"" 2,048,661 "",,,,,,"
", 計 ,"" 2,480,681 "",,,,,,"
" 臺 北 市 , 男 ,"" 1,177,022 "",,,,,,"
", 女 ,"" 1,303,659 "",,,,,,"
", 計 ,"" 2,281,464 "",,,,,,"
" 桃 園 市 , 男 ,"" 1,126,870 "",,,,,,"
", 女 ,"" 1,154,594 "",,,,,,"
", 計 ,"" 2,814,459 "",,,,,,"
" 臺 中 市 , 男 ,"" 1,378,315 "",,,,,,"
", 女 ,"" 1,436,144 "",,,,,,"
", 計 ,"" 1,852,997 "",,,,,,"
" 臺 南 市 , 男 ,"" 921,168 "",,,,,,"
", 女 ,"" 931,829 "",,,,,,"
", 計 ,"" 2,728,137 "",,,,,,"
" 高 雄 市 , 男 ,"" 1,341,492 "",,,,,,"
", 女 ,"" 1,386,645 "",,,,,,"
", 計 ,"" 6,956,073 "",,,,,,"
" 臺 灣 省 , 男 ,"" 3,529,243 "",,,,,,"
", 女 ,"" 3,426,830 "",,,,,,"
",,,,,,,,"
",,,,,,,,"
"110,,,,,,,,"
" 區 域 別 , 性別 , 總     計 ,,,,,,"
",,,,,,,,"
", 計 ,"" 23,375,314 "",,,,,,"
" 總　　計 , 男 ,"" 11,578,696 "",,,,,,"
", 女 ,"" 11,796,618 "",,,,,,"
", 計 ,"" 4,008,113 "",,,,,,"
" 新 北 市 , 男 ,"" 1,957,337 "",,,,,,"
", 女 ,"" 2,050,776 "",,,,,,"
", 計 ,"" 2,524,393 "",,,,,,"
" 臺 北 市 , 男 ,"" 1,201,966 "",,,,,,"
", 女 ,"" 1,322,427 "",,,,,,"
