,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111
,"   22,689,122","   22,770,383","   22,876,527","   22,958,360","   23,037,031","   23,119,772","   23,162,123","   23,224,912","   23,315,822","   23,373,517","   23,433,753","   23,492,074","   23,539,816","   23,571,227","   23,588,932","   23,603,121","   23,561,236","   23,375,314","   23,264,640"
 總　　計 ,"   11,541,585","   11,562,440","   11,591,707","   11,608,767","   11,626,351","   11,636,734","   11,635,225","   11,645,674","   11,673,319","   11,684,674","   11,697,971","   11,712,047","   11,719,270","   11,719,580","   11,712,913","   11,705,186","   11,673,765","   11,578,696","   11,499,136"
,"   11,147,537","   11,207,943","   11,284,820","   11,349,593","   11,410,680","   11,483,038","   11,526,898","   11,579,238","   11,642,503","   11,688,843","   11,735,782","   11,780,027","   11,820,546","   11,851,647","   11,876,019","   11,897,935","   11,887,471","   11,796,618","   11,765,504"
,"   3,708,099","   3,736,677","   3,767,095","   3,798,015","   3,833,730","   3,873,653","   3,897,367","   3,916,451","   3,939,305","   3,954,929","   3,966,818","   3,970,644","   3,979,208","   3,986,689","   3,995,717","   4,018,696","   4,030,954","   4,008,113","   3,995,551"
 新 北 市 ,"   1,864,229","   1,875,730","   1,887,030","   1,899,122","   1,913,218","   1,927,574","   1,935,668","   1,939,844","   1,946,607","   1,950,060","   1,951,739","   1,951,355","   1,952,341","   1,953,397","   1,954,968","   1,963,658","   1,968,355","   1,957,337","   1,946,890"
,"   1,843,870","   1,860,947","   1,880,065","   1,898,893","   1,920,512","   1,946,079","   1,961,699","   1,976,607","   1,992,698","   2,004,869","   2,015,079","   2,019,289","   2,026,867","   2,033,292","   2,040,749","   2,055,038","   2,062,599","   2,050,776","   2,048,661"
,"   2,616,375","   2,616,375","   2,632,242","   2,629,269","   2,622,923","   2,607,428","   2,618,772","   2,650,968","   2,673,226","   2,686,516","   2,702,315","   2,704,810","   2,695,704","   2,683,257","   2,668,572","   2,645,041","   2,602,418","   2,524,393","   2,480,681"
 臺 北 市 ,"   1,279,513","   1,279,513","   1,282,691","   1,277,556","   1,270,948","   1,260,450","   1,262,554","   1,276,343","   1,285,361","   1,289,945","   1,295,636","   1,295,462","   1,289,510","   1,281,917","   1,273,375","   1,260,049","   1,238,618","   1,201,966","   1,177,022"
,"   1,336,862","   1,336,862","   1,349,551","   1,351,713","   1,351,975","   1,346,978","   1,356,218","   1,374,625","   1,387,865","   1,396,571","   1,406,679","   1,409,348","   1,406,194","   1,401,340","   1,395,197","   1,384,992","   1,363,800","   1,322,427","   1,303,659"
,"   1,853,029","   1,880,316","   1,911,161","   1,934,968","   1,958,686","   1,978,782","   2,002,060","   2,013,305","   2,030,161","   2,044,023","   2,058,328","   2,105,780","   2,147,763","   2,188,017","   2,220,872","   2,249,037","   2,268,807","   2,272,391","   2,281,464"
 桃 園 市 ,"   945,959","   958,212","   971,969","   981,486","   991,492","   999,065","   1,009,274","   1,013,618","   1,020,819","   1,026,657","   1,032,625","   1,053,001","   1,071,564","   1,089,619","   1,104,073","   1,116,111","   1,124,276","   1,125,130","   1,126,870"
,"   907,070","   922,104","   939,192","   953,482","   967,194","   979,717","   992,786","   999,687","   1,009,342","   1,017,366","   1,025,703","   1,052,779","   1,076,199","   1,098,398","   1,116,799","   1,132,926","   1,144,531","   1,147,261","   1,154,594"
," 2,548,332 "," 2,566,220 "," 2,587,828 "," 2,606,794 "," 2,624,072 "," 2,635,761 "," 2,648,419 "," 2,664,394 "," 2,684,893 "," 2,701,661 "," 2,719,835 "," 2,744,445 "," 2,767,239 "," 2,787,070 "," 2,803,894 "," 2,815,261 "," 2,820,787 "," 2,813,490 "," 2,814,459 "
 臺 中 市 ," 1,282,701 "," 1,289,781 "," 1,298,422 "," 1,305,410 "," 1,311,990 "," 1,315,222 "," 1,319,156 "," 1,324,894 "," 1,333,194 "," 1,339,733 "," 1,347,010 "," 1,357,014 "," 1,366,312 "," 1,374,085 "," 1,380,106 "," 1,384,164 "," 1,385,436 "," 1,381,117 "," 1,378,315 "
," 1,265,631 "," 1,276,439 "," 1,289,406 "," 1,301,384 "," 1,312,082 "," 1,320,539 "," 1,329,263 "," 1,339,500 "," 1,351,699 "," 1,361,928 "," 1,372,825 "," 1,387,431 "," 1,400,927 "," 1,412,985 "," 1,423,788 "," 1,431,097 "," 1,435,351 "," 1,432,373 "," 1,436,144 "
,"   1,860,591","   1,862,918","   1,866,727","   1,870,061","   1,873,005","   1,875,406","   1,873,794","   1,876,960","   1,881,645","   1,883,208","   1,884,284","   1,885,541","   1,886,033","   1,886,522","   1,883,831","   1,880,906","   1,874,917","   1,862,059","   1,852,997"
 臺 南 市 ,"   947,303","   947,290","   947,468","   947,396","   947,401","   946,116","   944,044","   943,899","   945,004","   944,555","   944,069","   943,804","   943,082","   942,278","   939,967","   937,342","   933,869","   927,158","   921,168"
,"   913,288","   915,628","   919,259","   922,665","   925,604","   929,290","   929,750","   933,061","   936,641","   938,653","   940,215","   941,737","   942,951","   944,244","   943,864","   943,564","   941,048","   934,901","   931,829"
,"   2,751,602","   2,753,486","   2,760,180","   2,764,868","   2,769,054","   2,770,887","   2,773,483","   2,774,470","   2,778,659","   2,779,877","   2,778,992","   2,778,918","   2,779,371","   2,776,912","   2,773,533","   2,773,198","   2,765,932","   2,744,691","   2,728,137"
 高 雄 市 ,"   1,400,242","   1,398,342","   1,398,540","   1,397,466","   1,396,456","   1,393,154","   1,390,927","   1,388,530","   1,387,931","   1,385,895","   1,382,998","   1,380,989","   1,379,043","   1,375,515","   1,371,957","   1,369,850","   1,364,243","   1,352,711","   1,341,492"
,"   1,351,360","   1,355,144","   1,361,640","   1,367,402","   1,372,598","   1,377,733","   1,382,556","   1,385,940","   1,390,728","   1,393,982","   1,395,994","   1,397,929","   1,400,328","   1,401,397","   1,401,576","   1,403,348","   1,401,689","   1,391,980","   1,386,645"
,"   18,480,158","   18,562,750","   18,643,302","   18,717,043","   18,794,141","   18,880,708","   9,242,980","   9,227,680","   9,233,673","   9,234,448","   7,182,952","   7,156,590","   7,136,789","   7,112,424","   7,090,184","   7,067,708","   7,043,545","   6,994,993","   6,956,073"
 臺 灣 省 ,"   9,456,893","   9,483,831","   9,506,823","   9,525,389","   9,547,908","   9,566,411","   4,727,261","   4,713,700","   4,711,712","   4,706,876","   3,672,707","   3,656,660","   3,642,668","   3,626,698","   3,611,525","   3,596,501","   3,581,117","   3,554,841","   3,529,243"
,"   9,023,265","   9,078,919","   9,136,479","   9,191,654","   9,246,233","   9,314,297","   4,515,719","   4,513,980","   4,521,961","   4,527,572","   3,510,245","   3,499,930","   3,494,121","   3,485,726","   3,478,659","   3,471,207","   3,462,428","   3,440,152","   3,426,830"
