 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,, 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,
,,,,,, 中華民國104年底 ,,,,,,,,,,,,,, 中華民國104年底 ,,,,,,,,   單位：人 
 區 域 別 , 性別 , 總     計 , 0 ,,, 1～4 ,,, 5～9 , 10～14 , 15～19 , 20～24 , 25～29 , 30～34 , 35～39 , 40～44 , 45～49 , 50～54 , 55～59 , 60～64 , 65～69 , 70～74 , 75～79 , 80～84 , 85～89 , 90～94 , 95～99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
, 計 ," 23,492,074 "," 201,523 "," 850,932 "," 214,239 "," 197,973 "," 237,636 "," 201,084 "," 977,518 "," 1,157,807 "," 1,499,835 "," 1,603,963 "," 1,586,427 "," 1,897,924 "," 2,029,074 "," 1,781,032 "," 1,839,124 "," 1,871,317 "," 1,737,346 "," 1,519,673 "," 977,014 "," 674,500 "," 560,559 "," 385,340 "," 235,563 "," 84,923 "," 17,613 "," 3,067 "
 總　　計 , 男 ," 11,712,047 "," 104,752 "," 440,457 "," 110,605 "," 102,614 "," 122,936 "," 104,302 "," 510,204 "," 605,073 "," 781,104 "," 833,406 "," 818,133 "," 948,459 "," 1,004,245 "," 877,836 "," 913,117 "," 926,100 "," 851,684 "," 736,337 "," 466,819 "," 313,098 "," 247,645 "," 171,347 "," 114,167 "," 39,070 "," 7,552 "," 1,442 "
, 女 ," 11,780,027 "," 96,771 "," 410,475 "," 103,634 "," 95,359 "," 114,700 "," 96,782 "," 467,314 "," 552,734 "," 718,731 "," 770,557 "," 768,294 "," 949,465 "," 1,024,829 "," 903,196 "," 926,007 "," 945,217 "," 885,662 "," 783,336 "," 510,195 "," 361,402 "," 312,914 "," 213,993 "," 121,396 "," 45,853 "," 10,061 "," 1,625 "
, 計 ," 3,970,644 "," 33,052 "," 137,840 "," 35,972 "," 32,147 "," 37,903 "," 31,818 "," 161,947 "," 184,173 "," 245,277 "," 274,011 "," 277,081 "," 330,604 "," 357,206 "," 312,290 "," 317,320 "," 329,828 "," 310,524 "," 270,316 "," 164,764 "," 101,225 "," 72,859 "," 45,977 "," 29,515 "," 11,597 "," 2,650 ", 588 
 新 北 市 , 男 ," 1,951,355 "," 17,164 "," 71,390 "," 18,482 "," 16,709 "," 19,610 "," 16,589 "," 84,567 "," 96,208 "," 127,282 "," 142,695 "," 142,196 "," 164,258 "," 175,198 "," 152,574 "," 151,991 "," 155,153 "," 145,171 "," 126,357 "," 77,515 "," 46,961 "," 31,429 "," 20,746 "," 15,096 "," 5,800 "," 1,302 ", 302 
, 女 ," 2,019,289 "," 15,888 "," 66,450 "," 17,490 "," 15,438 "," 18,293 "," 15,229 "," 77,380 "," 87,965 "," 117,995 "," 131,316 "," 134,885 "," 166,346 "," 182,008 "," 159,716 "," 165,329 "," 174,675 "," 165,353 "," 143,959 "," 87,249 "," 54,264 "," 41,430 "," 25,231 "," 14,419 "," 5,797 "," 1,348 ", 286 
, 計 ," 2,704,810 "," 27,783 "," 121,860 "," 31,224 "," 28,814 "," 33,507 "," 28,315 "," 108,917 "," 118,868 "," 146,766 "," 150,573 "," 157,350 "," 215,939 "," 238,221 "," 205,010 "," 207,390 "," 208,151 "," 204,969 "," 193,831 "," 136,418 "," 88,017 "," 70,435 "," 50,039 "," 34,697 "," 15,251 "," 3,579 ", 746 
 臺 北 市 , 男 ," 1,295,462 "," 14,408 "," 62,571 "," 15,983 "," 14,804 "," 17,249 "," 14,535 "," 56,619 "," 62,292 "," 76,179 "," 77,914 "," 78,160 "," 101,544 "," 111,538 "," 94,950 "," 95,771 "," 97,020 "," 94,967 "," 90,494 "," 62,858 "," 39,324 "," 29,766 "," 22,121 "," 17,201 "," 7,601 "," 1,785 ", 379 
