區  域  別 , 性別 , 總     計 , 0 ,,, 1-4 ,,, 5-9 , 10-14 , 15-19 , 20-24 , 25-29 , 30-34 , 35-39 , 40-44 , 45-49 , 50-54 , 55-59 , 60-64 , 65-69 , 70-74 , 75-79 , 80-84 , 85-89 , 90-94 , 95-99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
, 計 ,"   16,223,089","   338,281","   1,454,170","   356,170","   361,478","   363,206","   373,316","   1,927,927","   2,017,243","   1,926,987","   1,756,823","   1,191,173","   916,547","   896,818","   834,221","   835,036","   678,189","   487,078","   394,528","   263,708","   162,314","   87,099","   37,396","   13,380","   4,171",—,—
 總　　計 , 男 ,"   8,501,391","   174,666","   748,550","   183,721","   186,206","   186,603","   192,020","   992,148","   1,035,899","   986,738","   898,252","   611,328","   470,618","   457,984","   449,433","   500,064","   406,252","   281,813","   220,066","   134,464","   77,258","   36,793","   13,858","   4,173","   1,034",—,—
, 女 ,"   7,721,698","   163,615","   705,620","   172,449","   175,272","   176,603","   181,296","   935,779","   981,344","   940,249","   858,571","   579,845","   445,929","   438,834","   384,788","   334,972","   271,937","   205,265","   174,462","   129,244","   85,056","   50,306","   23,538","   9,207","   3,137",—,—
, 計 ,"   16,149,702","   336,702","   1,446,295","   354,409","   359,596","   361,147","   371,143","   1,916,351","   2,005,506","   1,918,721","   1,751,609","   1,187,680","   913,396","   893,274","   830,523","   832,024","   675,564","   485,053","   392,702","   262,351","   161,298","   86,442","   36,948","   13,167","   4,096",—,—
 臺灣地區 , 男 ,"   8,463,476","   173,833","   744,410","   182,789","   185,186","   185,532","   190,903","   986,191","   1,029,800","   982,146","   895,587","   609,671","   468,966","   455,956","   447,376","   498,620","   404,899","   280,725","   219,205","   133,852","   76,826","   36,558","   13,729","   4,108","   1,018",—,—
, 女 ,"   7,686,226","   162,869","   701,885","   171,620","   174,410","   175,615","   180,240","   930,160","   975,706","   936,575","   856,022","   578,009","   444,430","   437,318","   383,147","   333,404","   270,665","   204,328","   173,497","   128,499","   84,472","   49,884","   23,219","   9,059","   3,078",—,—
, 計 ,"   14,106,384","   300,395","   1,275,712","   313,561","   317,521","   318,253","   326,377","   1,688,287","   1,773,145","   1,700,457","   1,533,430","   1,007,985","   779,214","   771,865","   723,292","   718,245","   575,472","   416,624","   341,301","   232,168","   143,519","   77,197","   32,987","   11,557","   3,532",—,—
臺  灣  省, 男 ,"   7,391,245","   155,017","   656,762","   161,634","   163,460","   163,634","   168,034","   868,513","   910,112","   870,400","   790,280","   523,654","   403,519","   396,824","   389,589","   427,091","   340,326","   237,387","   187,766","   116,937","   67,705","   32,619","   12,246","   3,618",   880,—,—
, 女 ,"   6,715,139","   145,378","   618,950","   151,927","   154,061","   154,619","   158,343","   819,774","   863,033","   830,057","   743,150","   484,331","   375,695","   375,041","   333,703","   291,154","   235,146","   179,237","   153,535","   115,231","   75,814","   44,578","   20,741","   7,939","   2,652",—,—
, 計 ,"   1,629,105","   37,026","   168,543","   40,415","   42,281","   43,146","   42,701","   206,023","   189,447","   174,166","   166,908","   132,871","   106,063","   92,141","   78,668","   78,680","   65,778","   46,798","   35,939","   23,208","   14,640","   7,402","   3,253","   1,151",   400,—,—
 臺 北 縣 , 男 ,"   851,445","   18,885","   86,814","   20,778","   21,778","   22,307","   21,951","   105,945","   97,231","   89,068","   80,058","   64,100","   54,508","   47,656","   43,866","   48,737","   40,945","   28,516","   20,867","   12,470","   7,099","   3,100","   1,146",   335,   99,—,—
, 女 ,"   777,660","   18,141","   81,729","   19,637","   20,503","   20,839","   20,750","   100,078","   92,216","   85,098","   86,850","   68,771","   51,555","   44,485","   34,802","   29,943","   24,833","   18,282","   15,072","   10,738","   7,541","   4,302","   2,107",   816,   301,—,—
, 計 ,"   427,655","   8,521","   36,706","   9,206","   9,166","   8,968","   9,366","   50,805","   54,918","   53,515","   46,447","   27,131","   22,617","   24,374","   22,255","   21,373","   17,303","   13,191","   11,622","   8,013","   5,277","   2,152","   1,001",   319,   115,—,—
 宜 蘭 縣 , 男 ,"   226,297","   4,339","   18,887","   4,706","   4,728","   4,615","   4,838","   26,319","   28,407","   27,551","   24,268","   14,683","   11,981","   12,874","   12,050","   12,644","   10,214","   7,560","   6,751","   4,078","   2,392",   839,   337,   90,   33,—,—
, 女 ,"   201,358","   4,182","   17,819","   4,500","   4,438","   4,353","   4,528","   24,486","   26,511","   25,964","   22,179","   12,448","   10,636","   11,500","   10,205","   8,729","   7,089","   5,631","   4,871","   3,935","   2,885","   1,313",   664,   229,   82,—,—
, 計 ,"   861,792","   18,823","   85,366","   20,578","   20,849","   21,643","   22,296","   112,301","   109,658","   95,730","   86,595","   59,491","   47,343","   44,604","   42,817","   51,593","   37,865","   24,539","   17,522","   11,839","   7,903","   4,548","   2,203",   785,   267,—,—
 桃 園 縣 , 男 ,"   455,817","   9,710","   43,710","   10,518","   10,774","   10,974","   11,444","   57,658","   56,327","   48,271","   41,694","   28,206","   22,786","   21,860","   25,059","   36,072","   25,696","   15,446","   10,293","   6,147","   3,783","   1,912",   848,   269,   70,—,—
, 女 ,"   405,975","   9,113","   41,656","   10,060","   10,075","   10,669","   10,852","   54,643","   53,331","   47,459","   44,901","   31,285","   24,557","   22,744","   17,758","   15,521","   12,169","   9,093","   7,229","   5,692","   4,120","   2,636","   1,355",   516,   197,—,—
, 計 ,"   617,311","   12,443","   54,279","   13,556","   13,277","   13,474","   13,972","   71,794","   77,537","   74,310","   68,336","   42,650","   32,713","   32,579","   30,400","   32,525","   27,187","   19,533","   15,304","   11,108","   7,514","   4,216","   1,938",   718,   227,—,—
 新 竹 縣 , 男 ,"   325,893","   6,474","   27,788","   6,976","   6,844","   6,850","   7,118","   37,048","   39,898","   37,920","   35,069","   22,456","   16,907","   16,658","   16,248","   19,212","   16,528","   11,739","   9,096","   6,004","   3,774","   1,938",   819,   254,   63,—,—
, 女 ,"   291,418","   5,969","   26,491","   6,580","   6,433","   6,624","   6,854","   34,746","   37,639","   36,390","   33,267","   20,194","   15,806","   15,921","   14,152","   13,313","   10,659","   7,794","   6,208","   5,104","   3,740","   2,278","   1,119",   464,   164,—,—
, 計 ,"   538,820","   11,273","   46,165","   11,559","   11,342","   11,379","   11,885","   62,013","   70,059","   69,562","   60,211","   35,457","   27,179","   28,375","   27,423","   26,830","   20,929","   16,050","   13,405","   10,140","   6,885","   4,100","   1,894",   656,   214,—,—
 苗 栗 縣 , 男 ,"   281,364","   5,834","   24,130","   5,980","   5,959","   5,933","   6,258","   31,685","   35,698","   35,346","   31,551","   19,550","   14,687","   15,172","   14,649","   15,062","   11,192","   8,569","   7,158","   4,936","   3,286","   1,810",   773,   216,   60,—,—
