 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            中 華 民 國  81 年 底 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 區  域  別 , 性別 , 總     計 , 0 ,,, 1-4 ,,, 5-9 , 10-14 , 15-19 , 20-24 , 25-29 , 30-34 , 35-39 , 40-44 , 45-49 , 50-54 , 55-59 , 60-64 , 65-69 , 70-74 , 75-79 , 80-84 , 85-89 , 90-94 , 95-99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
, 計 ,"   20,802,622","   307,732","   1,321,821","   320,927","   337,109","   318,733","   345,052","   1,708,725","   2,023,069","   1,864,578","   1,859,677","   1,933,959","   1,924,575","   1,749,763","   1,415,342","   887,387","   882,182","   770,190","   737,489","   594,180","   400,066","   239,016","   124,816","   44,569","   11,394","   1,801",   291
 總　　計 , 男 ,"   10,734,609","   160,372","   688,162","   167,614","   175,811","   165,506","   179,231","   882,271","   1,042,014","   955,702","   952,881","   990,251","   983,486","   892,329","   722,576","   451,477","   443,183","   389,203","   413,629","   342,974","   219,690","   123,100","   58,049","   18,389","   4,186",   606,   79
, 女 ,"   10,068,013","   147,360","   633,659","   153,313","   161,298","   153,227","   165,821","   826,454","   981,055","   908,876","   906,796","   943,708","   941,089","   857,434","   692,766","   435,910","   438,999","   380,987","   323,860","   251,206","   180,376","   115,916","   66,767","   26,180","   7,208","   1,195",   212
, 計 ,"   20,752,494","   307,037","   1,318,633","   320,237","   336,328","   317,946","   344,122","   1,703,649","   2,017,301","   1,858,814","   1,856,207","   1,930,906","   1,921,471","   1,746,313","   1,412,684","   885,299","   879,826","   767,636","   735,371","   592,590","   398,875","   238,127","   124,201","   44,245","   11,259","   1,770",   280
 臺灣地區 , 男 ,"   10,708,281","   160,012","   686,506","   167,253","   175,407","   165,090","   178,756","   879,691","   1,039,076","   952,594","   950,720","   988,442","   981,914","   890,710","   721,279","   450,359","   441,828","   387,666","   412,498","   342,200","   219,098","   122,768","   57,833","   18,274","   4,142",   594,   77
, 女 ,"   10,044,213","   147,025","   632,127","   152,984","   160,921","   152,856","   165,366","   823,958","   978,225","   906,220","   905,487","   942,464","   939,557","   855,603","   691,405","   434,940","   437,998","   379,970","   322,873","   250,390","   179,777","   115,359","   66,368","   25,971","   7,117","   1,176",   203
, 計 ,"   16,650,512","   254,987","   1,085,009","   265,224","   277,177","   261,119","   281,489","   1,381,277","   1,624,862","   1,507,753","   1,514,245","   1,565,770","   1,520,781","   1,347,702","   1,078,887","   686,663","   705,316","   629,729","   603,485","   479,910","   321,682","   193,853","   102,059","   36,049","   9,053","   1,257",   183
臺  灣  省, 男 ,"   8,633,091","   133,071","   565,032","   138,515","   144,526","   135,751","   146,240","   712,240","   836,521","   773,465","   778,329","   810,840","   789,288","   697,901","   556,715","   350,884","   356,439","   319,627","   338,220","   276,011","   174,702","   98,819","   46,658","   14,630","   3,247",   406,   46
, 女 ,"   8,017,421","   121,916","   519,977","   126,709","   132,651","   125,368","   135,249","   669,037","   788,341","   734,288","   735,916","   754,930","   731,493","   649,801","   522,172","   335,779","   348,877","   310,102","   265,265","   203,899","   146,980","   95,034","   55,401","   21,419","   5,806",   851,   137
, 計 ,"   3,162,346","   48,716","   214,753","   51,379","   54,176","   52,420","   56,778","   287,903","   324,599","   288,192","   271,555","   291,471","   317,090","   293,078","   224,235","   134,297","   118,987","   94,409","   86,321","   71,918","   47,557","   27,793","   12,936","   4,966","   1,334",   199,   37
 臺 北 縣 , 男 ,"   1,615,609","   25,424","   111,784","   26,879","   28,354","   27,219","   29,332","   148,073","   166,952","   147,637","   138,593","   141,994","   155,452","   146,966","   113,855","   68,792","   59,288","   47,649","   49,730","   42,304","   27,133","   14,888","   6,346","   2,148",   514,   72,   15
, 女 ,"   1,546,737","   23,292","   102,969","   24,500","   25,822","   25,201","   27,446","   139,830","   157,647","   140,555","   132,962","   149,477","   161,638","   146,112","   110,380","   65,505","   59,699","   46,760","   36,591","   29,614","   20,424","   12,905","   6,590","   2,818",   820,   127,   22
, 計 ,"   456,857","   7,278","   29,792","   7,536","   7,650","   7,140","   7,466","   34,783","   41,759","   41,141","   45,027","   44,738","   39,075","   33,135","   25,953","   18,074","   22,075","   20,282","   18,294","   14,423","   9,876","   6,300","   3,355","   1,186",   285,   19,   7
 宜 蘭 縣 , 男 ,"   237,186","   3,870","   15,515","   3,927","   4,033","   3,690","   3,865","   17,787","   21,445","   21,123","   23,029","   23,702","   20,529","   17,126","   13,304","   9,176","   11,292","   10,530","   10,149","   8,189","   5,243","   3,137","   1,487",   463,   82,   8,—
, 女 ,"   219,671","   3,408","   14,277","   3,609","   3,617","   3,450","   3,601","   16,996","   20,314","   20,018","   21,998","   21,036","   18,546","   16,009","   12,649","   8,898","   10,783","   9,752","   8,145","   6,234","   4,633","   3,163","   1,868",   723,   203,   11,   7
, 計 ,"   1,415,546","   22,831","   99,000","   23,932","   25,573","   23,763","   25,732","   128,090","   147,718","   128,614","   127,440","   131,552","   132,365","   118,651","   90,638","   53,796","   50,496","   42,155","   50,292","   42,031","   24,704","   14,327","   7,179","   2,675",   854,   111,   27
 桃 園 縣 , 男 ,"   737,899","   11,810","   51,667","   12,479","   13,290","   12,445","   13,453","   66,243","   76,046","   66,089","   65,057","   66,231","   66,215","   59,558","   45,185","   26,394","   24,366","   21,680","   33,414","   28,721","   15,483","   8,495","   3,789","   1,124",   293,   30,   9
, 女 ,"   677,647","   11,021","   47,333","   11,453","   12,283","   11,318","   12,279","   61,847","   71,672","   62,525","   62,383","   65,321","   66,150","   59,093","   45,453","   27,402","   26,130","   20,475","   16,878","   13,310","   9,221","   5,832","   3,390","   1,551",   561,   81,   18
, 計 ,"   385,668","   7,061","   28,301","   7,156","   7,344","   6,811","   6,990","   31,258","   35,259","   32,916","   36,128","   37,938","   34,324","   27,666","   21,128","   14,730","   16,938","   16,018","   15,654","   12,360","   8,107","   5,205","   2,944","   1,278",   393,   55,   7
 新 竹 縣 , 男 ,"   203,486","   3,682","   14,779","   3,775","   3,857","   3,553","   3,594","   16,046","   18,241","   16,983","   18,522","   20,228","   18,929","   14,958","   11,145","   7,631","   8,767","   8,408","   8,944","   7,018","   4,396","   2,690","   1,419",   550,   134,   14,   2
, 女 ,"   182,182","   3,379","   13,522","   3,381","   3,487","   3,258","   3,396","   15,212","   17,018","   15,933","   17,606","   17,710","   15,395","   12,708","   9,983","   7,099","   8,171","   7,610","   6,710","   5,342","   3,711","   2,515","   1,525",   728,   259,   41,   5
