 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
             中 華 民 國  91 年 底 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 區  域  別 , 性別 , 總     計 , 0 ,,, 1-4 ,,, 5-9 , 10-14 , 15-19 , 20-24 , 25-29 , 30-34 , 35-39 , 40-44 , 45-49 , 50-54 , 55-59 , 60-64 , 65-69 , 70-74 , 75-79 , 80-84 , 85-89 , 90-94 , 95-99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
, 計 ,"   22,520,776","   236,687","   1,114,142","   257,075","   306,554","   282,920","   267,593","   1,621,378","   1,626,685","   1,681,126","   2,004,871","   1,856,171","   1,847,353","   1,913,758","   1,896,052","   1,706,154","   1,363,730","   821,946","   799,423","   665,502","   593,675","   419,184","   224,363","   92,436","   29,336","   5,506","   1,298"
 總　　計 , 男 ,"   11,485,409","   123,895","   580,912","   133,793","   160,044","   147,760","   139,315","   843,183","   849,202","   866,630","   1,026,165","   943,791","   936,397","   971,469","   960,079","   858,992","   683,753","   407,786","   388,001","   322,139","   320,449","   230,394","   114,146","   42,843","   12,364","   2,213",   606
, 女 ,"   11,035,367","   112,792","   533,230","   123,282","   146,510","   135,160","   128,278","   778,195","   777,483","   814,496","   978,706","   912,380","   910,956","   942,289","   935,973","   847,162","   679,977","   414,160","   411,422","   343,363","   273,226","   188,790","   110,217","   49,593","   16,972","   3,293",   692
, 計 ,"   22,453,080","   235,879","   1,110,800","   256,229","   305,595","   282,108","   266,868","   1,617,326","   1,622,315","   1,675,560","   1,998,750","   1,850,261","   1,842,329","   1,908,904","   1,891,441","   1,701,133","   1,360,071","   819,291","   796,462","   662,409","   591,406","   417,662","   223,378","   91,928","   29,058","   5,434","   1,283"
 臺灣地區 , 男 ,"   11,449,662","   123,455","   579,173","   133,355","   159,539","   147,334","   138,945","   841,107","   846,926","   863,761","   1,022,972","   940,664","   933,501","   968,664","   957,483","   856,368","   681,940","   406,374","   386,330","   320,358","   319,340","   229,781","   113,714","   42,673","   12,285","   2,194",   599
, 女 ,"   11,003,418","   112,424","   531,627","   122,874","   146,056","   134,774","   127,923","   776,219","   775,389","   811,799","   975,778","   909,597","   908,828","   940,240","   933,958","   844,765","   678,131","   412,917","   410,132","   342,051","   272,066","   187,881","   109,664","   49,255","   16,773","   3,240",   684
, 計 ,"   18,301,714","   197,459","   918,137","   213,612","   252,081","   232,446","   219,998","   1,341,354","   1,340,371","   1,385,937","   1,659,334","   1,523,719","   1,501,555","   1,554,187","   1,527,366","   1,348,851","   1,067,608","   651,595","   647,777","   544,411","   482,096","   333,188","   176,546","   72,610","   22,746","   4,086",   781
臺  灣  省, 男 ,"   9,387,976","   103,377","   478,872","   111,333","   131,599","   121,429","   114,511","   697,387","   699,053","   714,931","   851,230","   780,243","   771,874","   800,543","   783,948","   686,469","   539,983","   324,943","   316,973","   265,069","   259,504","   181,560","   87,902","   32,871","   9,273","   1,609",   362
, 女 ,"   8,913,738","   94,082","   439,265","   102,279","   120,482","   111,017","   105,487","   643,967","   641,318","   671,006","   808,104","   743,476","   729,681","   753,644","   743,418","   662,382","   527,625","   326,652","   330,804","   279,342","   222,592","   151,628","   88,644","   39,739","   13,473","   2,477",   419
, 計 ,"   3,641,446","   35,042","   167,465","   38,452","   45,795","   42,338","   40,880","   265,523","   272,631","   283,473","   342,562","   313,345","   311,133","   326,810","   328,230","   296,790","   227,340","   125,339","   107,405","   78,062","   68,321","   49,590","   26,803","   11,009","   3,556",   776,   241
 臺 北 縣 , 男 ,"   1,834,806","   18,430","   86,926","   20,062","   23,775","   21,988","   21,101","   137,821","   142,111","   145,867","   176,005","   159,069","   155,098","   158,576","   159,260","   144,305","   111,885","   62,065","   51,479","   37,579","   38,337","   28,055","   14,488","   5,397","   1,592",   335,   126
, 女 ,"   1,806,640","   16,612","   80,539","   18,390","   22,020","   20,350","   19,779","   127,702","   130,520","   137,606","   166,557","   154,276","   156,035","   168,234","   168,970","   152,485","   115,455","   63,274","   55,926","   40,483","   29,984","   21,535","   12,315","   5,612","   1,964",   441,   115
, 計 ,"   464,107","   4,863","   22,616","   5,306","   6,159","   5,615","   5,536","   33,540","   33,763","   34,488","   41,326","   38,067","   36,581","   37,151","   36,550","   32,216","   25,315","   17,199","   20,213","   17,513","   14,356","   9,843","   5,386","   2,283",   701,   112,   25
 宜 蘭 縣 , 男 ,"   239,410","   2,528","   11,800","   2,757","   3,226","   2,975","   2,842","   17,407","   17,721","   17,708","   21,149","   19,725","   19,379","   19,738","   18,951","   16,508","   12,804","   8,630","   10,070","   8,770","   7,515","   5,193","   2,525",   971,   271,   34,   13
, 女 ,"   224,697","   2,335","   10,816","   2,549","   2,933","   2,640","   2,694","   16,133","   16,042","   16,780","   20,177","   18,342","   17,202","   17,413","   17,599","   15,708","   12,511","   8,569","   10,143","   8,743","   6,841","   4,650","   2,861","   1,312",   430,   78,   12
