 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
             中 華 民 國  92 年 底 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 區  域  別 , 性別 , 總     計 , 0 ,,, 1~4 ,,, 5~9 , 10~14 , 15~19 , 20~24 , 25~29 , 30~34 , 35~39 , 40~44 , 45~49 , 50~54 , 55~59 , 60~64 , 65~69 , 70~74 , 75~79 , 80~84 , 85~89 , 90~94 , 95~99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
, 計 ,"   22,604,550","   217,456","   1,092,447","   246,241","   257,200","   306,226","   282,780","   1,561,046","   1,610,671","   1,646,048","   1,977,231","   1,901,431","   1,821,029","   1,891,845","   1,919,263","   1,744,527","   1,456,435","   866,063","   811,324","   677,189","   589,974","   443,852","   239,280","   97,340","   32,724","   5,954","   1,421"
 總　　計 , 男 ,"   11,515,062","   114,018","   570,156","   128,787","   133,846","   159,858","   147,665","   812,247","   840,744","   850,160","   1,012,438","   967,088","   921,888","   960,123","   971,638","   877,898","   729,037","   429,830","   394,429","   324,142","   309,833","   244,424","   122,381","   45,323","   14,162","   2,421",   682
, 女 ,"   11,089,488","   103,438","   522,291","   117,454","   123,354","   146,368","   135,115","   748,799","   769,927","   795,888","   964,793","   934,343","   899,141","   931,722","   947,625","   866,629","   727,398","   436,233","   416,895","   353,047","   280,141","   199,428","   116,899","   52,017","   18,562","   3,533",   739
, 計 ,"   22,534,761","   216,676","   1,088,936","   245,408","   256,339","   305,247","   281,942","   1,557,034","   1,606,495","   1,640,554","   1,971,119","   1,895,344","   1,815,665","   1,886,789","   1,914,403","   1,739,146","   1,452,447","   863,220","   808,406","   674,010","   587,548","   442,221","   238,240","   96,803","   32,440","   5,861","   1,404"
 臺灣地區 , 男 ,"   11,477,983","   113,603","   568,303","   128,333","   133,397","   159,346","   147,227","   810,171","   838,589","   847,343","   1,009,252","   963,898","   918,811","   957,162","   968,820","   875,021","   727,014","   428,327","   392,802","   322,279","   308,599","   243,757","   121,951","   45,138","   14,072","   2,396",   675
, 女 ,"   11,056,778","   103,073","   520,633","   117,075","   122,942","   145,901","   134,715","   746,863","   767,906","   793,211","   961,867","   931,446","   896,854","   929,627","   945,583","   864,125","   725,433","   434,893","   415,604","   351,731","   278,949","   198,464","   116,289","   51,665","   18,368","   3,465",   729
, 計 ,"   18,398,273","   181,383","   903,245","   204,620","   213,553","   252,165","   232,907","   1,292,716","   1,329,342","   1,360,435","   1,638,981","   1,566,647","   1,483,045","   1,538,300","   1,553,391","   1,386,738","   1,143,505","   684,240","   655,356","   552,495","   480,013","   353,811","   187,772","   76,230","   25,334","   4,424",   870
臺  灣  省, 男 ,"   9,427,524","   95,279","   471,609","   107,044","   111,270","   131,639","   121,656","   672,388","   693,201","   702,908","   840,810","   802,301","   760,671","   792,500","   797,107","   705,545","   577,585","   341,471","   320,970","   266,527","   251,620","   193,639","   94,015","   34,623","   10,594","   1,746",   415
, 女 ,"   8,970,749","   86,104","   431,636","   97,576","   102,283","   120,526","   111,251","   620,328","   636,141","   657,527","   798,171","   764,346","   722,374","   745,800","   756,284","   681,193","   565,920","   342,769","   334,386","   285,968","   228,393","   160,172","   93,757","   41,607","   14,740","   2,678",   455
, 計 ,"   3,676,533","   32,689","   164,953","   36,472","   38,556","   46,486","   43,439","   253,942","   268,865","   278,603","   340,752","   325,596","   310,234","   322,313","   332,719","   305,160","   247,908","   135,005","   112,436","   80,482","   67,464","   52,164","   28,490","   11,655","   3,997",   830,   276
 臺 北 縣 , 男 ,"   1,850,508","   17,232","   85,936","   19,141","   20,097","   24,135","   22,563","   131,421","   140,503","   143,432","   174,991","   165,378","   155,508","   156,880","   161,247","   147,771","   121,314","   66,700","   54,201","   38,081","   36,712","   29,609","   15,515","   5,757","   1,815",   358,   147
, 女 ,"   1,826,025","   15,457","   79,017","   17,331","   18,459","   22,351","   20,876","   122,521","   128,362","   135,171","   165,761","   160,218","   154,726","   165,433","   171,472","   157,389","   126,594","   68,305","   58,235","   42,401","   30,752","   22,555","   12,975","   5,898","   2,182",   472,   129
, 計 ,"   463,285","   4,485","   21,780","   4,959","   5,241","   6,058","   5,522","   31,999","   33,709","   33,789","   40,567","   38,343","   35,851","   36,552","   37,174","   32,837","   27,317","   17,138","   19,989","   17,784","   14,661","   10,273","   5,766","   2,327",   780,   138,   26
 宜 蘭 縣 , 男 ,"   238,839","   2,346","   11,421","   2,581","   2,722","   3,188","   2,930","   16,654","   17,559","   17,477","   20,783","   19,724","   18,918","   19,433","   19,454","   16,829","   13,820","   8,605","   9,905","   8,850","   7,529","   5,490","   2,721",   961,   303,   43,   14
, 女 ,"   224,446","   2,139","   10,359","   2,378","   2,519","   2,870","   2,592","   15,345","   16,150","   16,312","   19,784","   18,619","   16,933","   17,119","   17,720","   16,008","   13,497","   8,533","   10,084","   8,934","   7,132","   4,783","   3,045","   1,366",   477,   95,   12
, 計 ,"   1,822,075","   19,922","   101,318","   22,739","   23,786","   28,510","   26,283","   148,299","   146,395","   137,880","   158,828","   151,843","   157,136","   162,675","   156,130","   133,394","   102,294","   57,673","   50,486","   39,217","   40,346","   33,371","   15,780","   6,505","   2,112",   391,   80
 桃 園 縣 , 男 ,"   932,046","   10,525","   52,981","   11,895","   12,432","   14,984","   13,670","   77,496","   76,607","   71,418","   80,949","   76,423","   78,282","   81,127","   78,269","   66,558","   49,907","   27,540","   23,604","   18,463","   25,291","   22,399","   9,499","   3,452","   1,085",   150,   21
, 女 ,"   890,029","   9,397","   48,337","   10,844","   11,354","   13,526","   12,613","   70,803","   69,788","   66,462","   77,879","   75,420","   78,854","   81,548","   77,861","   66,836","   52,387","   30,133","   26,882","   20,754","   15,055","   10,972","   6,281","   3,053","   1,027",   241,   59
, 計 ,"   459,287","   5,823","   27,687","   6,553","   6,667","   7,551","   6,916","   36,530","   35,063","   32,089","   37,248","   36,855","   38,794","   38,992","   36,925","   29,892","   23,723","   14,970","   16,997","   15,731","   13,265","   9,971","   5,310","   2,388",   825,   185,   24
 新 竹 縣 , 男 ,"   239,335","   3,007","   14,561","   3,471","   3,575","   3,890","   3,625","   19,011","   18,441","   16,547","   18,965","   18,492","   20,145","   20,886","   20,098","   16,038","   12,351","   7,694","   8,595","   7,988","   7,026","   5,383","   2,561","   1,119",   349,   70,   8
, 女 ,"   219,952","   2,816","   13,126","   3,082","   3,092","   3,661","   3,291","   17,519","   16,622","   15,542","   18,283","   18,363","   18,649","   18,106","   16,827","   13,854","   11,372","   7,276","   8,402","   7,743","   6,239","   4,588","   2,749","   1,269",   476,   115,   16
, 計 ,"   560,903","   5,934","   28,226","   6,795","   6,808","   7,574","   7,049","   37,794","   40,358","   41,626","   49,766","   44,843","   42,196","   42,513","   44,587","   38,795","   32,418","   21,434","   23,840","   21,709","   18,878","   13,619","   7,572","   3,373","   1,157",   230,   35
 苗 栗 縣 , 男 ,"   294,225","   3,209","   14,820","   3,636","   3,571","   3,915","   3,698","   19,772","   20,995","   21,401","   25,691","   23,574","   23,076","   23,396","   24,289","   20,865","   16,896","   11,003","   12,236","   11,037","   9,568","   6,813","   3,519","   1,517",   456,   81,   11
, 女 ,"   266,678","   2,725","   13,406","   3,159","   3,237","   3,659","   3,351","   18,022","   19,363","   20,225","   24,075","   21,269","   19,120","   19,117","   20,298","   17,930","   15,522","   10,431","   11,604","   10,672","   9,310","   6,806","   4,053","   1,856",   701,   149,   24
, 計 ,"   1,520,376","   15,583","   79,502","   17,835","   18,872","   21,931","   20,864","   114,961","   118,794","   123,666","   146,272","   133,652","   118,921","   123,756","   125,066","   111,590","   90,342","   53,158","   48,299","   39,097","   33,971","   24,802","   12,298","   4,844","   1,526",   244,   32
 臺 中 縣 , 男 ,"   778,135","   8,026","   41,412","   9,355","   9,742","   11,406","   10,909","   59,685","   61,805","   63,983","   75,293","   68,758","   60,738","   62,692","   62,978","   56,294","   45,570","   26,760","   23,911","   19,023","   18,233","   14,142","   6,181","   1,984",   569,   85,   13
, 女 ,"   742,241","   7,557","   38,090","   8,480","   9,130","   10,525","   9,955","   55,276","   56,989","   59,683","   70,979","   64,894","   58,183","   61,064","   62,088","   55,296","   44,772","   26,398","   24,388","   20,074","   15,738","   10,660","   6,117","   2,860",   957,   159,   19
, 計 ,"   1,316,443","   14,288","   67,654","   15,755","   16,124","   18,580","   17,195","   90,561","   94,600","   103,648","   126,096","   116,431","   97,718","   98,611","   101,766","   92,033","   77,150","   49,056","   51,132","   46,634","   39,250","   26,681","   14,693","   6,017","   2,056",   328,   40
 彰 化 縣 , 男 ,"   681,144","   7,533","   35,495","   8,269","   8,359","   9,852","   9,015","   47,217","   49,848","   54,075","   64,594","   60,532","   51,744","   52,541","   54,005","   48,540","   40,105","   25,389","   26,031","   22,851","   18,935","   12,585","   6,034","   2,269",   695,   110,   16
, 女 ,"   635,299","   6,755","   32,159","   7,486","   7,765","   8,728","   8,180","   43,344","   44,752","   49,573","   61,502","   55,899","   45,974","   46,070","   47,761","   43,493","   37,045","   23,667","   25,101","   23,783","   20,315","   14,096","   8,659","   3,748","   1,361",   218,   24
, 計 ,"   540,397","   5,316","   26,250","   6,241","   6,444","   7,058","   6,507","   35,759","   37,291","   39,505","   47,650","   42,856","   39,837","   42,156","   44,140","   39,094","   33,303","   21,640","   23,140","   21,044","   18,100","   12,638","   6,797","   2,790",   930,   143,   18
 南 投 縣 , 男 ,"   281,528","   2,777","   13,603","   3,216","   3,336","   3,630","   3,421","   18,411","   19,480","   20,330","   24,620","   22,433","   21,253","   23,009","   23,770","   20,857","   17,660","   11,082","   11,644","   10,523","   9,039","   6,357","   3,063","   1,174",   378,   59,   6
, 女 ,"   258,869","   2,539","   12,647","   3,025","   3,108","   3,428","   3,086","   17,348","   17,811","   19,175","   23,030","   20,423","   18,584","   19,147","   20,370","   18,237","   15,643","   10,558","   11,496","   10,521","   9,061","   6,281","   3,734","   1,616",   552,   84,   12
