 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
           中 華 民 國 94 年 底 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 區  域  別 , 性別 , 總     計 , 0 ,,, 1～4 ,,, 5～9 , 10～14 , 15～19 , 20～24 , 25～29 , 30～34 , 35～39 , 40～44 , 45～49 , 50～54 , 55～59 , 60～64 , 65～69 , 70～74 , 75～79 , 80～84 , 85～89 , 90～94 , 95～99 , 100+ ,
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,
, 計 ,"   22,770,383","   195,331","   949,024","   218,272","   227,492","   246,219","   257,041","   1,502,936","   1,611,758","   1,590,254","   1,864,520","   2,002,501","   1,781,545","   1,870,226","   1,925,056","   1,808,740","   1,608,391","   1,062,981","   780,316","   715,262","   586,360","   480,569","   275,448","   112,551","   37,635","   7,236","   1,743",
 總　　計 , 男 ,"   11,562,440","   101,864","   496,222","   114,536","   119,127","   128,776","   133,783","   783,379","   839,692","   825,590","   956,187","   1,018,399","   897,966","   945,670","   972,854","   908,705","   803,078","   527,088","   380,324","   339,262","   288,316","   260,601","   143,274","   53,381","   16,760","   2,944",   884,
, 女 ,"   11,207,943","   93,467","   452,802","   103,736","   108,365","   117,443","   123,258","   719,557","   772,066","   764,664","   908,333","   984,102","   883,579","   924,556","   952,202","   900,035","   805,313","   535,893","   399,992","   376,000","   298,044","   219,968","   132,174","   59,170","   20,875","   4,292",   859,
, 計 ,"   22,689,774","   194,502","   945,535","   217,405","   226,615","   245,358","   256,157","   1,498,793","   1,607,550","   1,584,968","   1,857,787","   1,995,471","   1,775,098","   1,864,000","   1,918,686","   1,802,158","   1,602,587","   1,059,199","   776,847","   711,915","   583,557","   478,774","   274,206","   111,946","   37,334","   7,140","   1,721",
 臺灣地區 , 男 ,"   11,519,315","   101,426","   494,378","   114,081","   118,662","   128,305","   133,330","   781,224","   837,527","   822,894","   952,699","   1,014,804","   894,444","   942,033","   969,066","   904,983","   800,020","   525,080","   378,399","   337,323","   286,770","   259,839","   142,792","   53,154","   16,670","   2,911",   879,
, 女 ,"   11,170,459","   93,076","   451,157","   103,324","   107,953","   117,053","   122,827","   717,569","   770,023","   762,074","   905,088","   980,667","   880,654","   921,967","   949,620","   897,175","   802,567","   534,119","   398,448","   374,592","   296,787","   218,935","   131,414","   58,792","   20,664","   4,229",   842,
, 計 ,"   18,562,750","   162,992","   788,964","   181,886","   188,955","   204,403","   213,720","   1,246,114","   1,330,750","   1,320,696","   1,548,883","   1,658,282","   1,455,905","   1,520,007","   1,564,384","   1,451,885","   1,271,620","   835,059","   625,750","   580,019","   477,259","   385,804","   215,480","   87,526","   28,830","   5,442","   1,099",
臺  灣  省, 男 ,"   9,483,831","   84,866","   412,810","   95,429","   99,154","   106,936","   111,291","   649,778","   692,624","   685,668","   795,334","   848,062","   743,111","   780,402","   801,110","   738,274","   640,609","   417,015","   307,193","   277,774","   235,095","   208,236","   110,396","   40,319","   12,499","   2,095",   561,
, 女 ,"   9,078,919","   78,126","   376,154","   86,457","   89,801","   97,467","   102,429","   596,336","   638,126","   635,028","   753,549","   810,220","   712,794","   739,605","   763,274","   713,611","   631,011","   418,044","   318,557","   302,245","   242,164","   177,568","   105,084","   47,207","   16,331","   3,347",   538,
, 計 ,"   3,736,677","   29,908","   145,614","   33,674","   34,697","   37,270","   39,973","   242,941","   265,325","   271,485","   322,231","   349,706","   309,752","   318,456","   332,980","   317,637","   280,016","   173,029","   113,104","   89,204","   66,757","   55,764","   32,937","   13,650","   4,810","   1,025",   346,
 臺 北 縣 , 男 ,"   1,875,730","   15,495","   76,391","   17,737","   18,307","   19,535","   20,812","   125,911","   138,184","   140,513","   165,596","   177,850","   155,550","   156,437","   160,878","   152,994","   135,828","   84,545","   55,097","   41,563","   33,397","   31,490","   18,123","   6,965","   2,266",   470,   187,
