 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,,                     表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,
           中 華 民 國 95 年 底 ,,,,,,,,,,,,,,,,,,,    　　　　　　  中 華 民 國 95 年 底 ,,,,,,,,,,
 區  域  別 , 性別 , 總     計 , 0 ,,, 1～4 ,,, 5～9 , 10～14 , 15～19 , 20～24 , 25～29 , 30～34 , 35～39 , 40～44 , 45～49 , 50～54 , 55～59 , 60～64 , 65～69 , 70～74 , 75～79 , 80～84 , 85～89 , 90～94 , 95～99 , 100+ ,
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,
, 計 ,"   22,876,527","   192,887","   900,055","   207,968","   218,499","   227,319","   246,269","   1,437,160","   1,615,529","   1,608,668","   1,760,487","   1,998,797","   1,835,988","   1,850,260","   1,927,547","   1,832,448","   1,646,546","   1,216,871","   766,255","   737,193","   586,672","   491,500","   294,363","   126,836","   40,384","   8,137","   1,944",
 總　　計 , 男 ,"   11,591,707","   100,859","   470,840","   108,383","   114,629","   119,049","   128,779","   749,063","   840,418","   837,559","   902,971","   1,014,502","   923,631","   932,908","   972,298","   919,910","   821,251","   602,280","   373,307","   349,809","   281,052","   262,137","   153,915","   60,585","   18,114","   3,293","   1,005",
, 女 ,"   11,284,820","   92,028","   429,215","   99,585","   103,870","   108,270","   117,490","   688,097","   775,111","   771,109","   857,516","   984,295","   912,357","   917,352","   955,249","   912,538","   825,295","   614,591","   392,948","   387,384","   305,620","   229,363","   140,448","   66,251","   22,270","   4,844",   939,
, 計 ,"   22,790,250","   192,019","   896,514","   207,073","   217,590","   226,452","   245,399","   1,432,991","   1,611,163","   1,603,345","   1,753,674","   1,991,491","   1,828,921","   1,843,617","   1,920,296","   1,825,448","   1,639,766","   1,212,173","   762,541","   733,722","   583,753","   489,564","   293,057","   126,161","   40,073","   8,045","   1,916",
 臺灣地區 , 男 ,"   11,545,418","   100,407","   468,975","   107,922","   114,151","   118,588","   128,314","   746,903","   838,182","   834,792","   899,463","   1,010,862","   919,811","   929,026","   967,999","   915,879","   817,567","   599,782","   371,259","   347,824","   279,415","   261,252","   153,422","   60,324","   18,017","   3,258",   999,
, 女 ,"   11,244,832","   91,612","   427,539","   99,151","   103,439","   107,864","   117,085","   686,088","   772,981","   768,553","   854,211","   980,629","   909,110","   914,591","   952,297","   909,569","   822,199","   612,391","   391,282","   385,898","   304,338","   228,312","   139,635","   65,837","   22,056","   4,787",   917,
, 計 ,"   18,643,302","   160,736","   747,853","   172,697","   181,816","   188,850","   204,490","   1,193,177","   1,334,675","   1,338,733","   1,463,363","   1,657,922","   1,500,184","   1,501,141","   1,565,924","   1,476,182","   1,303,750","   954,620","   610,650","   594,991","   476,905","   395,727","   230,296","   98,303","   30,726","   6,196","   1,248",
臺  灣  省, 男 ,"   9,506,823","   84,172","   391,322","   89,865","   95,361","   99,101","   106,995","   622,123","   694,145","   696,832","   751,617","   845,984","   763,752","   768,740","   800,530","   750,078","   656,358","   476,172","   299,362","   285,108","   229,410","   210,244","   118,835","   45,677","   13,334","   2,380",   648,
, 女 ,"   9,136,479","   76,564","   356,531","   82,832","   86,455","   89,749","   97,495","   571,054","   640,530","   641,901","   711,746","   811,938","   736,432","   732,401","   765,394","   726,104","   647,392","   478,448","   311,288","   309,883","   247,495","   185,483","   111,461","   52,626","   17,392","   3,816",   600,
