 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,,                               表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,
           中 華 民 國 96 年 底 ,,,,,,,,,,,,,,,,,,,    　　　　　                     　   中 華 民 國 96 年 底 ,,,,,,,,,   單位：人 ,
 區  域  別 , 性別 , 總     計 , 0 ,,, 1～4 ,,, 5～9 , 10～14 , 15～19 , 20～24 , 25～29 , 30～34 , 35～39 , 40～44 , 45～49 , 50～54 , 55～59 , 60～64 , 65～69 , 70～74 , 75～79 , 80～84 , 85～89 , 90～94 , 95～99 , 100+ ,
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,
, 計 ,"   22,958,360","   192,021","   860,564","   206,531","   208,288","   218,369","   227,376","   1,359,780","   1,618,280","   1,620,326","   1,675,596","   2,017,016","   1,866,769","   1,845,404","   1,897,013","   1,869,685","   1,674,991","   1,329,160","   788,663","   748,863","   597,005","   495,565","   310,951","   137,363","   41,807","   9,576","   1,962",
 總　　計 , 男 ,"   11,608,767","   100,434","   450,127","   107,929","   108,536","   114,591","   119,071","   709,220","   841,204","   844,751","   860,639","   1,022,008","   937,762","   926,562","   956,057","   938,532","   833,832","   657,109","   384,466","   355,601","   280,289","   258,048","   163,045","   65,869","   18,087","   4,120","   1,005",
, 女 ,"   11,349,593","   91,587","   410,437","   98,602","   99,752","   103,778","   108,305","   650,560","   777,076","   775,575","   814,957","   995,008","   929,007","   918,842","   940,956","   931,153","   841,159","   672,051","   404,197","   393,262","   316,716","   237,517","   147,906","   71,494","   23,720","   5,456",   957,
, 計 ,"   22,866,867","   191,025","   856,982","   205,612","   207,372","   217,482","   226,516","   1,355,720","   1,613,877","   1,614,806","   1,668,672","   2,009,389","   1,859,207","   1,838,165","   1,889,412","   1,862,165","   1,667,320","   1,323,625","   784,720","   745,322","   593,901","   493,431","   309,602","   136,617","   41,518","   9,453","   1,938",
 臺灣地區 , 男 ,"   11,559,552","   99,881","   448,240","   107,446","   108,059","   114,128","   118,607","   707,097","   838,952","   841,893","   857,097","   1,018,150","   933,797","   922,367","   951,549","   934,137","   829,599","   654,149","   382,271","   353,608","   278,534","   257,046","   162,528","   65,576","   18,000","   4,081","   1,000",
, 女 ,"   11,307,315","   91,144","   408,742","   98,166","   99,313","   103,354","   107,909","   648,623","   774,925","   772,913","   811,575","   991,239","   925,410","   915,798","   937,863","   928,028","   837,721","   669,476","   402,449","   391,714","   315,367","   236,385","   147,074","   71,041","   23,518","   5,372",   938,
, 計 ,"   18,717,043","   159,005","   714,076","   171,267","   172,521","   181,537","   188,751","   1,130,186","   1,336,007","   1,349,774","   1,395,078","   1,674,630","   1,530,440","   1,497,963","   1,540,424","   1,512,014","   1,331,192","   1,044,697","   624,691","   601,850","   485,138","   399,431","   244,058","   106,112","   31,860","   7,126","   1,291",
臺  灣  省, 男 ,"   9,525,389","   83,215","   373,653","   89,648","   89,725","   95,200","   99,080","   589,543","   694,589","   703,743","   717,217","   852,446","   777,720","   763,784","   787,218","   767,815","   669,194","   521,002","   306,541","   288,388","   229,097","   207,399","   126,615","   49,385","   13,252","   2,911",   662,
, 女 ,"   9,191,654","   75,790","   340,423","   81,619","   82,796","   86,337","   89,671","   540,643","   641,418","   646,031","   677,861","   822,184","   752,720","   734,179","   753,206","   744,199","   661,998","   523,695","   318,150","   313,462","   256,041","   192,032","   117,443","   56,727","   18,608","   4,215",   629,
, 計 ,"   3,798,015","   30,371","   134,862","   32,812","   32,120","   34,172","   35,758","   219,885","   261,204","   277,674","   289,265","   357,402","   331,334","   317,530","   325,864","   327,597","   295,417","   223,821","   120,019","   98,257","   69,118","   57,076","   37,157","   17,030","   5,310","   1,398",   424,
 臺 北 縣 , 男 ,"   1,899,122","   15,907","   70,634","   17,181","   16,582","   17,985","   18,886","   114,268","   135,512","   144,870","   148,347","   181,258","   165,874","   157,389","   157,361","   157,204","   141,740","   108,286","   58,400","   46,050","   32,185","   31,148","   20,350","   8,912","   2,491",   685,   251,
, 女 ,"   1,898,893","   14,464","   64,228","   15,631","   15,538","   16,187","   16,872","   105,617","   125,692","   132,804","   140,918","   176,144","   165,460","   160,141","   168,503","   170,393","   153,677","   115,535","   61,619","   52,207","   36,933","   25,928","   16,807","   8,118","   2,819",   713,   173,
, 計 ,"   460,398","   3,562","   16,647","   3,912","   4,018","   4,286","   4,431","   26,284","   33,551","   33,804","   34,213","   39,425","   34,671","   34,962","   36,423","   35,932","   31,652","   24,710","   16,519","   18,828","   15,600","   11,976","   7,151","   3,273",   968,   208,   39,
 宜 蘭 縣 , 男 ,"   235,952","   1,850","   8,603","   2,016","   2,082","   2,215","   2,290","   13,695","   17,422","   17,730","   17,515","   20,134","   18,012","   18,316","   19,212","   18,478","   16,102","   12,406","   8,209","   9,208","   7,605","   5,990","   3,553","   1,433",   373,   82,   24,
, 女 ,"   224,446","   1,712","   8,044","   1,896","   1,936","   2,071","   2,141","   12,589","   16,129","   16,074","   16,698","   19,291","   16,659","   16,646","   17,211","   17,454","   15,550","   12,304","   8,310","   9,620","   7,995","   5,986","   3,598","   1,840",   595,   126,   15,
, 計 ,"   1,934,968","   18,548","   83,833","   19,760","   20,230","   21,345","   22,498","   136,384","   155,328","   147,337","   142,288","   170,784","   164,388","   167,463","   166,625","   152,757","   128,738","   94,231","   53,001","   46,620","   35,090","   36,101","   23,044","   8,934","   2,747",   624,   103,
 桃 園 縣 , 男 ,"   981,486","   9,758","   43,953","   10,403","   10,580","   11,155","   11,815","   71,243","   81,041","   77,100","   73,250","   85,294","   81,809","   83,241","   82,978","   76,142","   63,213","   45,316","   24,907","   21,324","   16,737","   22,913","   14,711","   4,912","   1,310",   291,   43,
, 女 ,"   953,482","   8,790","   39,880","   9,357","   9,650","   10,190","   10,683","   65,141","   74,287","   70,237","   69,038","   85,490","   82,579","   84,222","   83,647","   76,615","   65,525","   48,915","   28,094","   25,296","   18,353","   13,188","   8,333","   4,022","   1,437",   333,   60,
, 計 ,"   495,821","   5,835","   24,354","   6,070","   5,902","   6,190","   6,192","   34,681","   37,581","   35,679","   33,135","   40,942","   42,926","   42,484","   39,896","   36,003","   29,278","   22,334","   15,542","   17,563","   14,317","   11,557","   7,205","   3,104","   1,109",   264,   32,
 新 竹 縣 , 男 ,"   256,596","   3,055","   12,720","   3,148","   3,122","   3,241","   3,209","   18,185","   19,604","   18,690","   16,915","   20,276","   21,486","   22,254","   21,354","   19,461","   15,395","   11,474","   7,811","   8,887","   7,212","   6,100","   3,696","   1,427",   485,   99,   10,
, 女 ,"   239,225","   2,780","   11,634","   2,922","   2,780","   2,949","   2,983","   16,496","   17,977","   16,989","   16,220","   20,666","   21,440","   20,230","   18,542","   16,542","   13,883","   10,860","   7,731","   8,676","   7,105","   5,457","   3,509","   1,677",   624,   165,   22,
, 計 ,"   560,163","   4,965","   22,062","   5,240","   5,257","   5,713","   5,852","   33,031","   39,171","   40,892","   42,538","   48,592","   41,506","   41,442","   42,533","   42,938","   37,223","   29,989","   20,410","   22,304","   19,192","   15,784","   9,437","   4,381","   1,435",   297,   41,
 苗 栗 縣 , 男 ,"   292,522","   2,634","   11,730","   2,708","   2,782","   3,102","   3,138","   17,366","   20,468","   21,210","   21,849","   25,092","   22,146","   22,467","   23,140","   23,186","   19,748","   15,457","   10,398","   11,342","   9,515","   7,732","   4,445","   1,896",   583,   101,   17,
, 女 ,"   267,641","   2,331","   10,332","   2,532","   2,475","   2,611","   2,714","   15,665","   18,703","   19,682","   20,689","   23,500","   19,360","   18,975","   19,393","   19,752","   17,475","   14,532","   10,012","   10,962","   9,677","   8,052","   4,992","   2,485",   852,   196,   24,
, 計 ,"   1,550,896","   14,314","   63,057","   15,048","   15,206","   16,192","   16,611","   99,824","   119,137","   121,250","   126,638","   147,985","   127,359","   118,705","   123,807","   121,173","   107,060","   81,033","   47,745","   43,751","   34,216","   28,180","   16,496","   6,702","   2,047",   366,   51,
 臺 中 縣 , 男 ,"   789,358","   7,341","   32,869","   7,923","   7,927","   8,434","   8,585","   51,871","   61,960","   63,248","   65,228","   75,860","   64,974","   60,210","   62,026","   60,666","   53,449","   40,630","   23,594","   21,209","   16,359","   15,018","   8,835","   3,099",   766,   125,   21,
, 女 ,"   761,538","   6,973","   30,188","   7,125","   7,279","   7,758","   8,026","   47,953","   57,177","   58,002","   61,410","   72,125","   62,385","   58,495","   61,781","   60,507","   53,611","   40,403","   24,151","   22,542","   17,857","   13,162","   7,661","   3,603","   1,281",   241,   30,
, 計 ,"   1,314,354","   11,671","   53,451","   12,698","   12,801","   13,781","   14,171","   80,448","   91,904","   96,269","   106,435","   124,145","   104,489","   93,808","   98,101","   99,034","   87,032","   70,730","   45,091","   47,889","   41,669","   31,967","   18,697","   8,406","   2,473",   582,   63,
