 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,, 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,
,,,,,, 中華民國108年底 ,,,,,,,,,,,,,, 中華民國108年底 ,,,,,,,,   單位：人 
 區 域 別 , 性別 , 總     計 , 0 ,,, 1～4 ,,, 5～9 , 10～14 , 15～19 , 20～24 , 25～29 , 30～34 , 35～39 , 40～44 , 45～49 , 50～54 , 55～59 , 60～64 , 65～69 , 70～74 , 75～79 , 80～84 , 85～89 , 90～94 , 95～99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
, 計 ," 23,603,121 "," 168,211 "," 807,590 "," 183,215 "," 197,667 "," 210,503 "," 216,205 "," 1,019,322 "," 1,015,228 "," 1,254,141 "," 1,514,105 "," 1,609,454 "," 1,594,132 "," 1,964,945 "," 1,974,288 "," 1,775,328 "," 1,814,146 "," 1,827,585 "," 1,657,519 "," 1,379,517 "," 800,166 "," 609,634 "," 426,615 "," 250,664 "," 111,099 "," 25,626 "," 3,806 "
 總　　計 , 男 ," 11,705,186 "," 87,291 "," 418,448 "," 94,647 "," 102,418 "," 109,031 "," 112,352 "," 528,204 "," 529,859 "," 655,005 "," 786,337 "," 835,899 "," 811,836 "," 973,587 "," 972,012 "," 870,707 "," 893,605 "," 894,467 "," 800,678 "," 655,667 "," 372,358 "," 271,662 "," 177,638 "," 106,901 "," 50,353 "," 10,985 "," 1,687 "
, 女 ," 11,897,935 "," 80,920 "," 389,142 "," 88,568 "," 95,249 "," 101,472 "," 103,853 "," 491,118 "," 485,369 "," 599,136 "," 727,768 "," 773,555 "," 782,296 "," 991,358 "," 1,002,276 "," 904,621 "," 920,541 "," 933,118 "," 856,841 "," 723,850 "," 427,808 "," 337,972 "," 248,977 "," 143,763 "," 60,746 "," 14,641 "," 2,119 "
, 計 ," 4,018,696 "," 26,889 "," 125,869 "," 29,309 "," 30,711 "," 32,491 "," 33,358 "," 169,866 "," 163,629 "," 205,504 "," 252,091 "," 278,031 "," 273,619 "," 339,424 "," 350,448 "," 313,570 "," 317,214 "," 324,362 "," 299,669 "," 247,515 "," 134,166 "," 90,713 "," 55,345 "," 30,923 "," 15,121 "," 4,021 ", 707 
 新 北 市 , 男 ," 1,963,658 "," 13,919 "," 65,088 "," 15,104 "," 15,830 "," 16,795 "," 17,359 "," 87,828 "," 85,191 "," 107,405 "," 130,638 "," 144,607 "," 138,639 "," 167,240 "," 170,903 "," 151,816 "," 149,476 "," 151,025 "," 138,082 "," 113,955 "," 61,921 "," 40,278 "," 22,461 "," 13,599 "," 7,287 "," 1,933 ", 367 
, 女 ," 2,055,038 "," 12,970 "," 60,781 "," 14,205 "," 14,881 "," 15,696 "," 15,999 "," 82,038 "," 78,438 "," 98,099 "," 121,453 "," 133,424 "," 134,980 "," 172,184 "," 179,545 "," 161,754 "," 167,738 "," 173,337 "," 161,587 "," 133,560 "," 72,245 "," 50,435 "," 32,884 "," 17,324 "," 7,834 "," 2,088 ", 340 
, 計 ," 2,645,041 "," 20,160 "," 106,081 "," 23,023 "," 25,786 "," 28,231 "," 29,041 "," 119,402 "," 109,857 "," 118,216 "," 139,691 "," 151,496 "," 169,830 "," 224,971 "," 220,766 "," 195,734 "," 196,501 "," 199,019 "," 195,373 "," 176,807 "," 110,846 "," 78,730 "," 53,824 "," 34,072 "," 17,739 "," 5,036 ", 890 
 臺 北 市 , 男 ," 1,260,049 "," 10,410 "," 54,729 "," 11,824 "," 13,232 "," 14,618 "," 15,055 "," 61,662 "," 57,262 "," 61,561 "," 72,017 "," 76,883 "," 80,739 "," 105,777 "," 102,752 "," 90,779 "," 90,706 "," 92,070 "," 89,890 "," 81,166 "," 50,200 "," 34,018 "," 21,467 "," 14,815 "," 8,342 "," 2,358 ", 446 
