 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            中 華 民 國  65 年 底 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 區  域  別 , 性別 , 總     計 , 0 ,,, 1-4 ,,, 5-9 , 10-14 , 15-19 , 20-24 , 25-29 , 30-34 , 35-39 , 40-44 , 45-49 , 50-54 , 55-59 , 60-64 , 65-69 , 70-74 , 75-79 , 80-84 , 85-89 , 90-94 , 95-99 , 100+ ,
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,
, 計 ,"   16,579,737","   384,159","   1,447,067","   363,303","   360,130","   361,332","   362,302","   1,905,522","   2,017,738","   1,947,800","   1,794,759","   1,358,388","   896,646","   919,799","   826,968","   843,300","   704,252","   524,442","   405,372","   278,641","   172,900","   94,052","   39,657","   13,982","   4,293",—,—,
 總　　計 , 男 ,"   8,678,165","   199,009","   744,377","   186,722","   185,413","   186,205","   186,037","   980,364","   1,035,756","   998,006","   918,163","   696,226","   460,547","   469,617","   435,665","   498,187","   422,911","   304,989","   229,142","   142,001","   82,682","   40,044","   14,983","   4,469","   1,027",—,—,
, 女 ,"   7,901,572","   185,150","   702,690","   176,581","   174,717","   175,127","   176,265","   925,158","   981,982","   949,794","   876,596","   662,162","   436,099","   450,182","   391,303","   345,113","   281,341","   219,453","   176,230","   136,640","   90,218","   54,008","   24,674","   9,513","   3,266",—,—,
, 計 ,"   16,508,190","   382,518","   1,439,673","   361,615","   358,358","   359,457","   360,243","   1,894,783","   2,005,766","   1,940,315","   1,789,563","   1,354,688","   893,648","   916,436","   823,349","   840,317","   701,578","   522,364","   403,507","   277,340","   171,862","   93,300","   39,220","   13,747","   4,216",—,—,
 臺灣地區 , 男 ,"   8,641,041","   198,099","   740,441","   185,825","   184,480","   185,184","   184,952","   974,835","   1,029,586","   993,773","   915,460","   694,444","   459,016","   467,720","   433,626","   496,687","   421,571","   303,838","   228,278","   141,415","   82,217","   39,775","   14,851","   4,402","   1,007",—,—,
, 女 ,"   7,867,149","   184,419","   699,232","   175,790","   173,878","   174,273","   175,291","   919,948","   976,180","   946,542","   874,103","   660,244","   434,632","   448,716","   389,723","   343,630","   280,007","   218,526","   175,229","   135,925","   89,645","   53,525","   24,369","   9,345","   3,209",—,—,
, 計 ,"   14,418,902","   341,754","   1,268,929","   320,519","   316,017","   316,376","   316,017","   1,664,034","   1,772,244","   1,723,403","   1,568,059","   1,152,958","   761,186","   791,493","   717,573","   728,421","   599,493","   448,455","   349,065","   245,296","   152,432","   83,265","   34,980","   12,193","   3,669",—,—,
臺  灣  省, 男 ,"   7,547,719","   176,881","   652,611","   164,825","   162,623","   162,886","   162,277","   855,498","   909,059","   882,802","   807,979","   598,393","   394,423","   406,963","   378,696","   427,538","   356,172","   256,973","   194,659","   123,469","   72,163","   35,364","   13,226","   3,956",   894,—,—,
, 女 ,"   6,871,183","   164,873","   616,318","   155,694","   153,394","   153,490","   153,740","   808,536","   863,185","   840,601","   760,080","   554,565","   366,763","   384,530","   338,877","   300,883","   243,321","   191,482","   154,406","   121,827","   80,269","   47,901","   21,754","   8,237","   2,775",—,—,
, 計 ,"   1,757,238","   44,207","   176,872","   43,720","   44,614","   44,198","   44,340","   217,619","   200,439","   184,478","   180,507","   162,626","   110,860","   101,095","   81,769","   82,087","   70,378","   51,652","   38,672","   24,716","   15,738","   8,282","   3,542","   1,259",   440,—,—,
 臺 北 縣 , 男 ,"   915,470","   22,846","   90,801","   22,272","   22,895","   22,738","   22,896","   111,891","   102,845","   94,503","   86,720","   78,218","   57,263","   52,280","   43,995","   50,069","   43,541","   31,527","   22,761","   13,229","   7,726","   3,470","   1,293",   379,   113,—,—,
, 女 ,"   841,768","   21,361","   86,071","   21,448","   21,719","   21,460","   21,444","   105,728","   97,594","   89,975","   93,787","   84,408","   53,597","   48,815","   37,774","   32,018","   26,837","   20,125","   15,911","   11,487","   8,012","   4,812","   2,249",   880,   327,—,—,
, 計 ,"   431,291","   9,656","   35,837","   8,945","   9,047","   9,014","   8,831","   49,005","   54,268","   53,755","   47,668","   30,447","   21,243","   24,361","   22,325","   21,544","   18,097","   13,727","   11,836","   8,059","   5,550","   2,420","   1,037",   338,   118,—,—,
 宜 蘭 縣 , 男 ,"   227,850","   4,989","   18,276","   4,546","   4,602","   4,618","   4,510","   25,333","   28,021","   27,636","   24,915","   16,435","   11,169","   12,827","   12,020","   12,626","   10,795","   7,834","   6,902","   4,105","   2,531",   953,   351,   101,   31,—,—,
, 女 ,"   203,441","   4,667","   17,561","   4,399","   4,445","   4,396","   4,321","   23,672","   26,247","   26,119","   22,753","   14,012","   10,074","   11,534","   10,305","   8,918","   7,302","   5,893","   4,934","   3,954","   3,019","   1,467",   686,   237,   87,—,—,
, 計 ,"   896,426","   21,928","   84,846","   20,660","   21,023","   21,212","   21,951","   113,445","   112,764","   98,980","   90,806","   68,983","   47,461","   46,959","   41,707","   51,394","   41,427","   27,076","   19,206","   12,663","   8,418","   4,972","   2,266",   844,   281,—,—,
 桃 園 縣 , 男 ,"   474,071","   11,354","   43,460","   10,585","   10,807","   10,911","   11,157","   58,328","   57,740","   50,392","   44,051","   32,893","   22,933","   23,057","   22,958","   35,319","   28,393","   17,379","   11,638","   6,776","   4,079","   2,083",   864,   301,   73,—,—,
, 女 ,"   422,355","   10,574","   41,386","   10,075","   10,216","   10,301","   10,794","   55,117","   55,024","   48,588","   46,755","   36,090","   24,528","   23,902","   18,749","   16,075","   13,034","   9,697","   7,568","   5,887","   4,339","   2,889","   1,402",   543,   208,—,—,
, 計 ,"   623,780","   14,379","   52,772","   13,001","   13,410","   13,088","   13,273","   70,212","   76,239","   75,171","   69,238","   47,794","   31,476","   32,888","   29,909","   32,255","   28,226","   20,848","   15,761","   11,203","   7,822","   4,513","   2,051",   769,   254,—,—,
 新 竹 縣 , 男 ,"   329,321","   7,550","   27,288","   6,783","   6,964","   6,759","   6,782","   36,155","   39,432","   38,549","   35,510","   25,114","   16,381","   16,672","   15,644","   18,812","   16,996","   12,667","   9,364","   5,988","   3,907","   2,067",   878,   278,   69,—,—,
, 女 ,"   294,459","   6,829","   25,484","   6,218","   6,446","   6,329","   6,491","   34,057","   36,807","   36,622","   33,728","   22,680","   15,095","   16,216","   14,265","   13,443","   11,230","   8,181","   6,397","   5,215","   3,915","   2,446","   1,173",   491,   185,—,—,
, 計 ,"   541,652","   12,388","   44,993","   11,471","   11,263","   11,073","   11,186","   60,025","   68,305","   70,068","   61,234","   39,413","   25,650","   28,916","   26,553","   27,339","   21,583","   16,754","   13,560","   10,355","   7,287","   4,346","   1,983",   658,   242,—,—,
 苗 栗 縣 , 男 ,"   282,720","   6,411","   23,427","   5,937","   5,840","   5,869","   5,781","   30,800","   34,845","   35,665","   31,979","   21,568","   13,829","   15,377","   14,073","   15,260","   11,755","   8,891","   7,248","   5,140","   3,426","   1,938",   804,   217,   67,—,—,
, 女 ,"   258,932","   5,977","   21,566","   5,534","   5,423","   5,204","   5,405","   29,225","   33,460","   34,403","   29,255","   17,845","   11,821","   13,539","   12,480","   12,079","   9,828","   7,863","   6,312","   5,215","   3,861","   2,408","   1,179",   441,   175,—,—,
, 計 ,"   886,788","   23,261","   84,399","   21,865","   20,957","   20,990","   20,587","   103,781","   105,555","   101,681","   98,209","   71,326","   47,340","   47,778","   43,752","   44,317","   36,311","   26,501","   20,281","   14,581","   9,451","   5,347","   2,016",   700,   201,—,—,
 臺 中 縣 , 男 ,"   461,417","   11,908","   43,263","   11,226","   10,693","   10,776","   10,568","   53,074","   53,817","   51,589","   49,288","   36,948","   24,599","   24,910","   23,553","   26,433","   21,923","   14,872","   10,770","   7,025","   4,193","   2,192",   766,   247,   47,—,—,
, 女 ,"   425,371","   11,353","   41,136","   10,639","   10,264","   10,214","   10,019","   50,707","   51,738","   50,092","   48,921","   34,378","   22,741","   22,868","   20,199","   17,884","   14,388","   11,629","   9,511","   7,556","   5,258","   3,155","   1,250",   453,   154,—,—,
, 計 ,"   1,117,676","   28,468","   100,627","   26,512","   25,154","   24,694","   24,267","   123,783","   136,760","   138,028","   126,649","   86,225","   55,784","   61,332","   58,478","   52,841","   41,432","   33,117","   27,557","   21,785","   13,488","   7,323","   2,807",   959,   233,—,—,
 彰 化 縣 , 男 ,"   576,046","   14,674","   51,966","   13,845","   12,963","   12,682","   12,476","   63,509","   70,124","   70,417","   65,838","   46,391","   29,742","   32,491","   30,443","   27,982","   21,337","   16,643","   14,091","   10,356","   5,803","   2,890","   1,012",   290,   47,—,—,
