 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            中 華 民 國  83 年 底 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 區  域  別 , 性別 , 總     計 , 0 ,,, 1-4 ,,, 5-9 , 10-14 , 15-19 , 20-24 , 25-29 , 30-34 , 35-39 , 40-44 , 45-49 , 50-54 , 55-59 , 60-64 , 65-69 , 70-74 , 75-79 , 80-84 , 85-89 , 90-94 , 95-99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
, 計 ,"   21,177,874","   293,694","   1,307,938","   325,167","   322,918","   322,236","   337,617","   1,615,534","   1,952,415","   1,968,623","   1,800,721","   1,892,287","   1,959,649","   1,834,580","   1,594,472","   1,000,743","   883,687","   789,157","   722,018","   647,138","   444,508","   256,041","   146,238","   51,790","   13,780","   2,364",   497
 總　　計 , 男 ,"   10,907,032","   153,609","   682,403","   168,752","   168,546","   168,596","   176,509","   837,095","   1,006,634","   1,011,303","   922,677","   967,512","   999,784","   932,906","   810,417","   508,108","   444,463","   390,779","   385,289","   374,358","   247,589","   134,194","   70,333","   21,409","   5,198",   808,   164
, 女 ,"   10,270,842","   140,085","   625,535","   156,415","   154,372","   153,640","   161,108","   778,439","   945,781","   957,320","   878,044","   924,775","   959,865","   901,674","   784,055","   492,635","   439,224","   398,378","   336,729","   272,780","   196,919","   121,847","   75,905","   30,381","   8,582","   1,556",   333
, 計 ,"   21,125,792","   293,029","   1,304,868","   324,446","   322,194","   321,477","   336,751","   1,610,805","   1,946,804","   1,962,703","   1,796,268","   1,889,207","   1,956,372","   1,831,184","   1,591,498","   998,467","   881,329","   786,633","   719,567","   645,298","   443,178","   255,144","   145,563","   51,435","   13,625","   2,328",   487
 臺灣地區 , 男 ,"   10,879,563","   153,262","   680,806","   168,388","   168,173","   168,181","   176,064","   834,660","   1,003,739","   1,008,199","   920,016","   965,672","   998,053","   931,232","   808,970","   506,935","   443,133","   389,287","   383,908","   373,465","   246,932","   133,789","   70,101","   21,302","   5,143",   798,   161
, 女 ,"   10,246,229","   139,767","   624,062","   156,058","   154,021","   153,296","   160,687","   776,145","   943,065","   954,504","   876,252","   923,535","   958,319","   899,952","   782,528","   491,532","   438,196","   397,346","   335,659","   271,833","   196,246","   121,355","   75,462","   30,133","   8,482","   1,530",   326
, 計 ,"   17,055,966","   248,557","   1,083,998","   270,994","   268,396","   266,642","   277,966","   1,315,695","   1,577,492","   1,601,183","   1,468,309","   1,543,268","   1,573,199","   1,435,404","   1,227,049","   772,665","   704,419","   644,594","   594,869","   526,544","   357,060","   207,458","   119,117","   42,239","   10,788","   1,753",   306
臺  灣  省, 男 ,"   8,826,534","   129,296","   565,500","   140,617","   140,201","   139,373","   145,309","   681,141","   812,230","   823,328","   753,711","   796,750","   814,795","   742,882","   631,715","   394,926","   356,218","   321,619","   317,193","   303,400","   196,580","   106,895","   56,498","   17,160","   3,998",   591,   108
, 女 ,"   8,229,432","   119,261","   518,498","   130,377","   128,195","   127,269","   132,657","   634,554","   765,262","   777,855","   714,598","   746,518","   758,404","   692,522","   595,334","   377,739","   348,201","   322,975","   277,676","   223,144","   160,480","   100,563","   62,619","   25,079","   6,790","   1,162",   198
