 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               中 華 民 國  89 年 底 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 區  域  別 , 性別 , 總     計 , 0 ,,, 1-4 ,,, 5-9 , 10-14 , 15-19 , 20-24 , 25-29 , 30-34 , 35-39 , 40-44 , 45-49 , 50-54 , 55-59 , 60-64 , 65-69 , 70-74 , 75-79 , 80-84 , 85-89 , 90-94 , 95-99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
, 計 ,"   22,276,672","   292,724","   1,196,518","   282,482","   267,563","   323,612","   322,861","   1,615,158","   1,598,693","   1,875,363","   2,001,787","   1,778,878","   1,880,525","   1,948,453","   1,840,177","   1,644,449","   1,096,189","   817,926","   768,524","   659,042","   582,622","   378,169","   188,721","   84,265","   22,959","   4,564",   966
 總　　計 , 男 ,"   11,392,050","   153,054","   623,644","   147,570","   139,279","   168,683","   168,112","   841,773","   831,160","   964,868","   1,023,835","   905,239","   957,030","   990,211","   931,580","   829,386","   550,932","   405,574","   372,741","   333,391","   326,658","   205,981","   94,920","   38,710","   9,168","   1,807",   388
, 女 ,"   10,884,622","   139,670","   572,874","   134,912","   128,284","   154,929","   154,749","   773,385","   767,533","   910,495","   977,952","   873,639","   923,495","   958,242","   908,597","   815,063","   545,257","   412,352","   395,783","   325,651","   255,964","   172,188","   93,801","   45,555","   13,791","   2,757",   578
, 計 ,"   22,216,107","   291,869","   1,193,517","   281,731","   266,872","   322,825","   322,089","   1,611,305","   1,594,124","   1,869,626","   1,995,910","   1,773,938","   1,876,618","   1,944,462","   1,835,944","   1,640,508","   1,093,595","   815,485","   765,656","   656,224","   580,735","   376,739","   187,893","   83,757","   22,749","   4,500",   953
 臺灣地區 , 男 ,"   11,360,358","   152,613","   622,081","   147,166","   138,915","   168,297","   167,703","   839,785","   828,808","   961,880","   1,020,762","   902,498","   954,809","   987,956","   929,359","   827,486","   549,628","   404,212","   371,073","   331,801","   325,833","   205,383","   94,566","   38,555","   9,102","   1,783",   385
, 女 ,"   10,855,749","   139,256","   571,436","   134,565","   127,957","   154,528","   154,386","   771,520","   765,316","   907,746","   975,148","   871,440","   921,809","   956,506","   906,585","   813,022","   543,967","   411,273","   394,583","   324,423","   254,902","   171,356","   93,327","   45,202","   13,647","   2,717",   568
, 計 ,"   18,079,073","   241,599","   980,319","   231,592","   218,949","   264,896","   264,882","   1,335,554","   1,313,877","   1,542,164","   1,653,179","   1,454,441","   1,526,930","   1,579,212","   1,468,278","   1,292,022","   857,002","   655,468","   628,094","   540,298","   472,189","   300,130","   149,712","   66,625","   18,063","   3,336",   581
臺  灣  省, 男 ,"   9,298,274","   126,358","   511,548","   121,071","   114,033","   138,336","   138,108","   695,156","   682,330","   794,118","   847,727","   746,829","   788,706","   813,982","   753,918","   658,123","   433,685","   326,962","   307,301","   273,867","   263,806","   161,641","   73,751","   29,948","   7,005","   1,280",   233
, 女 ,"   8,780,799","   115,241","   468,771","   110,521","   104,916","   126,560","   126,774","   640,398","   631,547","   748,046","   805,452","   707,612","   738,224","   765,230","   714,360","   633,899","   423,317","   328,506","   320,793","   266,431","   208,383","   138,489","   75,961","   36,677","   11,058","   2,056",   348
, 計 ,"   3,567,896","   42,929","   176,040","   40,671","   38,707","   47,654","   49,008","   269,313","   267,495","   316,863","   335,945","   292,197","   311,059","   333,132","   318,745","   282,496","   176,831","   118,975","   98,688","   76,642","   68,621","   45,466","   22,691","   10,099","   2,825",   665,   179
 臺 北 縣 , 男 ,"   1,801,773","   22,324","   91,342","   21,168","   19,978","   24,817","   25,379","   140,251","   138,201","   163,400","   172,462","   148,509","   153,265","   161,325","   155,039","   138,714","   87,638","   59,004","   46,970","   39,360","   39,759","   25,760","   12,067","   4,837","   1,197",   267,   82
