 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
             中 華 民 國  90 年 底 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 區  域  別 , 性別 , 總     計 , 0 ,,, 1-4 ,,, 5-9 , 10-14 , 15-19 , 20-24 , 25-29 , 30-34 , 35-39 , 40-44 , 45-49 , 50-54 , 55-59 , 60-64 , 65-69 , 70-74 , 75-79 , 80-84 , 85-89 , 90-94 , 95-99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
, 計 ,"   22,405,568","   246,381","   1,180,378","   306,271","   282,885","   267,579","   323,643","   1,618,964","   1,616,161","   1,768,347","   1,992,372","   1,828,743","   1,855,510","   1,946,820","   1,859,355","   1,678,885","   1,250,525","   800,735","   789,035","   656,027","   591,347","   398,637","   207,848","   88,205","   25,222","   4,948","   1,123"
 總　　計 , 男 ,"   11,441,651","   128,338","   615,637","   159,929","   147,749","   139,287","   168,672","   842,623","   842,567","   910,170","   1,018,859","   930,094","   943,317","   988,598","   941,127","   846,586","   627,410","   397,003","   382,731","   323,539","   326,319","   218,110","   105,011","   41,096","   10,045","   1,994",   477
, 女 ,"   10,963,917","   118,043","   564,741","   146,342","   135,136","   128,292","   154,971","   776,341","   773,594","   858,177","   973,513","   898,649","   912,193","   958,222","   918,228","   832,299","   623,115","   403,732","   406,304","   332,488","   265,028","   180,527","   102,837","   47,109","   15,177","   2,954",   646
, 計 ,"   22,339,759","   245,571","   1,177,095","   305,327","   282,094","   266,863","   322,811","   1,614,991","   1,611,698","   1,762,637","   1,986,258","   1,823,074","   1,850,943","   1,942,064","   1,854,705","   1,674,262","   1,247,236","   798,108","   786,061","   653,057","   589,292","   397,140","   206,904","   87,668","   25,009","   4,876","   1,110"
 臺灣地區 , 男 ,"   11,406,903","   127,914","   613,934","   159,432","   147,327","   138,910","   168,265","   840,581","   840,237","   907,192","   1,015,708","   926,950","   940,663","   985,860","   938,597","   844,255","   625,743","   395,580","   381,022","   321,847","   325,360","   217,516","   104,599","   40,927","   9,977","   1,968",   473
, 女 ,"   10,932,856","   117,657","   563,161","   145,895","   134,767","   127,953","   154,546","   774,410","   771,461","   855,445","   970,550","   896,124","   910,280","   956,204","   916,108","   830,007","   621,493","   402,528","   405,039","   331,210","   263,932","   179,624","   102,305","   46,741","   15,032","   2,908",   637
, 計 ,"   18,211,500","   205,881","   969,928","   252,286","   232,226","   219,540","   265,876","   1,339,486","   1,330,396","   1,455,621","   1,650,884","   1,498,588","   1,508,618","   1,582,336","   1,492,659","   1,323,843","   978,723","   639,235","   642,843","   537,641","   480,499","   316,446","   164,363","   69,290","   19,890","   3,643",   687
臺  灣  省, 男 ,"   9,352,694","   107,355","   506,123","   131,763","   121,353","   114,261","   138,746","   696,706","   692,744","   749,839","   846,208","   767,868","   777,827","   815,185","   766,161","   674,533","   494,724","   318,518","   314,568","   266,255","   264,282","   171,461","   81,358","   31,570","   7,716","   1,409",   284
, 女 ,"   8,858,806","   98,526","   463,805","   120,523","   110,873","   105,279","   127,130","   642,780","   637,652","   705,782","   804,676","   730,720","   730,791","   767,151","   726,498","   649,310","   483,999","   320,717","   328,275","   271,386","   216,217","   144,985","   83,005","   37,720","   12,174","   2,234",   403
, 計 ,"   3,610,252","   36,875","   175,738","   45,374","   41,410","   39,703","   49,251","   267,337","   271,027","   298,241","   337,769","   305,353","   310,135","   333,288","   321,813","   291,676","   205,387","   119,286","   103,729","   76,854","   68,765","   47,622","   24,838","   10,547","   3,037",   723,   212
 臺 北 縣 , 男 ,"   1,820,848","   19,229","   91,214","   23,603","   21,544","   20,483","   25,584","   138,944","   140,832","   153,562","   173,142","   155,099","   153,921","   161,194","   156,237","   142,640","   101,427","   59,162","   49,551","   38,085","   39,377","   27,056","   13,342","   5,173","   1,269",   292,   100
, 女 ,"   1,789,404","   17,646","   84,524","   21,771","   19,866","   19,220","   23,667","   128,393","   130,195","   144,679","   164,627","   150,254","   156,214","   172,094","   165,576","   149,036","   103,960","   60,124","   54,178","   38,769","   29,388","   20,566","   11,496","   5,374","   1,768",   431,   112
, 計 ,"   465,799","   5,180","   24,411","   6,254","   5,714","   5,586","   6,857","   33,679","   33,604","   36,313","   41,432","   38,122","   37,247","   37,975","   35,788","   31,736","   23,241","   17,943","   20,255","   17,166","   14,254","   9,498","   5,038","   2,164",   616,   114,   23
 宜 蘭 縣 , 男 ,"   240,529","   2,692","   12,749","   3,274","   3,025","   2,860","   3,590","   17,541","   17,514","   18,658","   21,180","   19,710","   19,860","   20,191","   18,507","   16,225","   11,750","   9,006","   10,138","   8,663","   7,700","   4,937","   2,329",   932,   200,   34,   13
, 女 ,"   225,270","   2,488","   11,662","   2,980","   2,689","   2,726","   3,267","   16,138","   16,090","   17,655","   20,252","   18,412","   17,387","   17,784","   17,281","   15,511","   11,491","   8,937","   10,117","   8,503","   6,554","   4,561","   2,709","   1,232",   416,   80,   10
, 計 ,"   1,762,963","   22,185","   106,059","   27,495","   25,168","   24,089","   29,307","   149,569","   141,270","   144,147","   153,448","   143,874","   156,294","   162,798","   144,974","   123,322","   83,617","   52,182","   47,248","   38,329","   43,799","   28,623","   13,333","   5,785","   1,684",   360,   63
 桃 園 縣 , 男 ,"   904,916","   11,621","   55,408","   14,469","   13,091","   12,550","   15,298","   78,360","   73,754","   74,436","   78,265","   72,155","   77,951","   81,295","   72,848","   61,297","   40,661","   24,680","   22,108","   20,023","   29,394","   18,717","   7,871","   3,153",   769,   135,   15
, 女 ,"   858,047","   10,564","   50,651","   13,026","   12,077","   11,539","   14,009","   71,209","   67,516","   69,711","   75,183","   71,719","   78,343","   81,503","   72,126","   62,025","   42,956","   27,502","   25,140","   18,306","   14,405","   9,906","   5,462","   2,632",   915,   225,   48
, 計 ,"   446,300","   6,522","   28,564","   7,572","   6,936","   6,430","   7,626","   36,789","   33,451","   33,571","   36,711","   35,616","   38,361","   39,173","   33,872","   27,744","   19,908","   14,897","   16,914","   14,845","   13,043","   8,673","   4,617","   2,137",   722,   150,   20
 新 竹 縣 , 男 ,"   233,237","   3,484","   14,982","   3,942","   3,619","   3,403","   4,018","   19,172","   17,450","   17,239","   18,754","   18,067","   20,115","   21,220","   18,532","   14,754","   10,287","   7,677","   8,616","   7,590","   7,191","   4,491","   2,260","   1,011",   288,   51,   6
, 女 ,"   213,063","   3,038","   13,582","   3,630","   3,317","   3,027","   3,608","   17,617","   16,001","   16,332","   17,957","   17,549","   18,246","   17,953","   15,340","   12,990","   9,621","   7,220","   8,298","   7,255","   5,852","   4,182","   2,357","   1,126",   434,   99,   14
, 計 ,"   560,640","   6,810","   29,769","   7,893","   7,338","   6,518","   8,020","   40,205","   40,503","   44,896","   49,634","   44,025","   43,198","   44,637","   42,715","   37,160","   28,282","   21,409","   24,530","   21,049","   18,608","   12,092","   6,777","   3,200",   921,   192,   28
 苗 栗 縣 , 男 ,"   294,080","   3,554","   15,579","   4,082","   3,850","   3,447","   4,200","   20,942","   21,024","   23,050","   25,554","   23,415","   23,708","   24,568","   23,218","   19,823","   14,640","   11,024","   12,642","   10,714","   9,586","   6,001","   3,207","   1,401",   362,   57,   11
, 女 ,"   266,560","   3,256","   14,190","   3,811","   3,488","   3,071","   3,820","   19,263","   19,479","   21,846","   24,080","   20,610","   19,490","   20,069","   19,497","   17,337","   13,642","   10,385","   11,888","   10,335","   9,022","   6,091","   3,570","   1,799",   559,   135,   17
, 計 ,"   1,502,274","   17,916","   85,640","   21,794","   20,792","   19,285","   23,769","   119,726","   119,006","   131,929","   145,923","   124,301","   121,356","   127,681","   119,843","   106,769","   76,269","   49,339","   46,603","   37,957","   34,017","   21,663","   10,542","   4,444","   1,121",   203,   26
 臺 中 縣 , 男 ,"   770,339","   9,280","   44,697","   11,334","   10,903","   9,941","   12,519","   62,078","   61,934","   67,762","   75,438","   63,582","   61,892","   64,607","   60,722","   54,076","   38,763","   24,643","   22,989","   19,036","   19,364","   12,103","   5,068","   1,849",   377,   71,   8
, 女 ,"   731,935","   8,636","   40,943","   10,460","   9,889","   9,344","   11,250","   57,648","   57,072","   64,167","   70,485","   60,719","   59,464","   63,074","   59,121","   52,693","   37,506","   24,696","   23,614","   18,921","   14,653","   9,560","   5,474","   2,595",   744,   132,   18
, 計 ,"   1,313,994","   15,964","   72,613","   19,050","   17,661","   16,590","   19,312","   94,157","   96,804","   113,329","   127,889","   109,525","   98,706","   103,248","   98,759","   88,147","   68,342","   47,035","   51,670","   46,227","   37,254","   23,867","   12,924","   5,493","   1,746",   271,   24
 彰 化 縣 , 男 ,"   680,560","   8,273","   38,000","   10,097","   9,262","   8,586","   10,055","   49,249","   51,070","   58,272","   65,864","   57,078","   52,530","   55,078","   52,406","   46,417","   35,726","   24,205","   26,254","   22,618","   18,395","   11,043","   5,337","   2,066",   574,   99,   6
