 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         中 華 民 國  93 年 底 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 區  域  別 , 性別 , 總     計 , 0 ,,, 1～4 ,,, 5～9 , 10～14 , 15～19 , 20～24 , 25～29 , 30～34 , 35～39 , 40～44 , 45～49 , 50～54 , 55～59 , 60～64 , 65～69 , 70～74 , 75～79 , 80～84 , 85～89 , 90～94 , 95～99 , 100+ ,
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,
, 計 ,"   22,689,122","   206,936","   1,037,003","   227,349","   246,452","   257,004","   306,198","   1,521,015","   1,622,128","   1,592,665","   1,928,089","   1,958,601","   1,796,937","   1,877,722","   1,926,436","   1,783,714","   1,532,407","   943,933","   811,061","   694,392","   588,148","   464,817","   255,848","   103,711","   35,343","   6,643","   1,573",
 總　　計 , 男 ,"   11,541,585","   108,663","   541,553","   119,073","   128,900","   133,755","   159,825","   791,835","   846,780","   823,881","   988,195","   996,749","   907,862","   951,254","   975,195","   896,871","   765,796","   468,133","   395,322","   330,091","   299,144","   254,807","   131,554","   48,850","   15,551","   2,713",   786,
, 女 ,"   11,147,537","   98,273","   495,450","   108,276","   117,552","   123,249","   146,373","   729,180","   775,348","   768,784","   939,894","   961,852","   889,075","   926,468","   951,241","   886,843","   766,611","   475,800","   415,739","   364,301","   289,004","   210,010","   124,294","   54,861","   19,792","   3,930",   787,
, 計 ,"   22,615,307","   206,150","   1,033,452","   226,514","   245,603","   256,124","   305,211","   1,517,011","   1,617,943","   1,587,430","   1,921,797","   1,952,106","   1,791,125","   1,872,263","   1,920,887","   1,778,007","   1,527,639","   940,749","   807,902","   691,196","   585,515","   463,132","   254,705","   103,154","   35,041","   6,548","   1,555",
 臺灣地區 , 男 ,"   11,502,202","   108,259","   539,666","   118,626","   128,435","   133,302","   159,303","   789,755","   844,621","   821,183","   984,929","   993,361","   904,637","   948,015","   971,939","   893,736","   763,336","   466,460","   393,571","   328,234","   297,714","   254,125","   131,092","   48,643","   15,457","   2,688",   781,
, 女 ,"   11,113,105","   97,891","   493,786","   107,888","   117,168","   122,822","   145,908","   727,256","   773,322","   766,247","   936,868","   958,745","   886,488","   924,248","   948,948","   884,271","   764,303","   474,289","   414,331","   362,962","   287,801","   209,007","   123,613","   54,511","   19,584","   3,860",   774,
, 計 ,"   18,480,158","   172,926","   859,464","   188,914","   204,537","   213,451","   252,562","   1,260,083","   1,339,310","   1,319,564","   1,599,554","   1,618,312","   1,464,740","   1,526,728","   1,562,845","   1,424,386","   1,206,790","   743,003","   652,767","   564,691","   478,947","   371,563","   200,453","   80,926","   27,181","   4,945",   980,
臺  灣  省, 男 ,"   9,456,893","   90,746","   449,179","   99,127","   106,958","   111,236","   131,858","   655,849","   698,538","   682,658","   820,950","   828,811","   749,517","   785,282","   801,750","   724,640","   608,516","   370,813","   320,450","   270,969","   243,362","   202,628","   101,210","   36,987","   11,621","   1,919",   498,
, 女 ,"   9,023,265","   82,180","   410,285","   89,787","   97,579","   102,215","   120,704","   604,234","   640,772","   636,906","   778,604","   789,501","   715,223","   741,446","   761,095","   699,746","   598,274","   372,190","   332,317","   293,722","   235,585","   168,935","   99,243","   43,939","   15,560","   3,026",   482,
, 計 ,"   3,708,099","   31,606","   158,028","   34,520","   36,768","   39,150","   47,590","   246,481","   268,947","   270,832","   332,673","   339,261","   309,290","   319,834","   333,791","   312,963","   263,650","   150,806","   115,528","   84,469","   67,039","   54,235","   30,482","   12,471","   4,477",   926,   310,
