 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,,                               表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,
           中 華 民 國 97 年 底 ,,,,,,,,,,,,,,,,,,,    　　　　　                     　   中 華 民 國 97 年 底 ,,,,,,,,,   單位：人 ,
 區  域  別 , 性別 , 總     計 , 0 ,,, 1～4 ,,, 5～9 , 10～14 , 15～19 , 20～24 , 25～29 , 30～34 , 35～39 , 40～44 , 45～49 , 50～54 , 55～59 , 60～64 , 65～69 , 70～74 , 75～79 , 80～84 , 85～89 , 90～94 , 95～99 , 100+ ,
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,
, 計 ,"   23,037,031","   187,568","   838,638","   205,446","   206,660","   208,111","   218,421","   1,319,870","   1,559,127","   1,605,952","   1,642,305","   1,994,567","   1,916,670","   1,823,587","   1,878,514","   1,895,846","   1,715,897","   1,422,226","   834,044","   762,519","   609,541","   494,896","   331,096","   147,409","   44,605","   10,281","   1,873",
 總　　計 , 男 ,"   11,626,351","   98,038","   438,453","   107,414","   108,002","   108,408","   114,629","   689,226","   810,883","   837,112","   845,169","   1,009,260","   961,387","   913,095","   945,857","   950,823","   853,304","   701,768","   406,629","   362,704","   282,905","   250,143","   173,879","   70,921","   19,429","   4,435",   931,
, 女 ,"   11,410,680","   89,530","   400,185","   98,032","   98,658","   99,703","   103,792","   630,644","   748,244","   768,840","   797,136","   985,307","   955,283","   910,492","   932,657","   945,023","   862,593","   720,458","   427,415","   399,815","   326,636","   244,753","   157,217","   76,488","   25,176","   5,846",   942,
, 計 ,"   22,942,706","   186,524","   834,875","   204,380","   205,730","   207,208","   217,557","   1,315,687","   1,554,765","   1,600,424","   1,635,084","   1,986,814","   1,908,840","   1,816,140","   1,870,852","   1,888,195","   1,707,795","   1,416,219","   829,992","   759,007","   606,326","   492,603","   329,674","   146,599","   44,298","   10,158","   1,835",
 臺灣地區 , 男 ,"   11,576,076","   97,512","   436,452","   106,811","   107,511","   107,942","   114,188","   687,020","   808,612","   834,260","   841,501","   1,005,357","   957,423","   908,847","   941,390","   946,376","   848,872","   698,542","   404,423","   360,772","   281,082","   249,023","   173,347","   70,615","   19,334","   4,397",   919,
, 女 ,"   11,366,630","   89,012","   398,423","   97,569","   98,219","   99,266","   103,369","   628,667","   746,153","   766,164","   793,583","   981,457","   951,417","   907,293","   929,462","   941,819","   858,923","   717,677","   425,569","   398,235","   325,244","   243,580","   156,327","   75,984","   24,964","   5,761",   916,
, 計 ,"   18,794,141","   155,718","   694,616","   169,258","   171,261","   172,408","   181,689","   1,097,682","   1,287,837","   1,339,905","   1,369,114","   1,657,839","   1,576,521","   1,481,953","   1,525,216","   1,538,628","   1,369,796","   1,120,290","   657,553","   610,021","   493,925","   399,817","   261,197","   113,615","   34,038","   7,583","   1,277",
臺  灣  省, 男 ,"   9,547,908","   81,542","   363,108","   88,577","   89,644","   89,609","   95,278","   573,525","   669,946","   698,410","   705,190","   842,296","   800,020","   753,155","   778,825","   780,772","   688,134","   557,819","   322,760","   292,537","   231,004","   201,583","   136,208","   53,083","   14,270","   3,094",   627,
, 女 ,"   9,246,233","   74,176","   331,508","   80,681","   81,617","   82,799","   86,411","   524,157","   617,891","   641,495","   663,924","   815,543","   776,501","   728,798","   746,391","   757,856","   681,662","   562,471","   334,793","   317,484","   262,921","   198,234","   124,989","   60,532","   19,768","   4,489",   650,
, 計 ,"   3,833,730","   30,465","   133,997","   32,883","   33,397","   32,759","   34,958","   213,975","   250,252","   274,823","   284,180","   354,971","   344,340","   317,779","   321,590","   332,028","   303,973","   244,090","   129,775","   103,524","   71,820","   56,647","   39,533","   18,237","   5,762","   1,521",   448,
 臺 北 縣 , 男 ,"   1,913,218","   15,993","   69,875","   17,191","   17,439","   16,880","   18,365","   111,607","   129,400","   143,707","   145,835","   179,822","   172,225","   158,144","   155,543","   158,965","   145,191","   117,405","   62,986","   48,787","   32,832","   29,883","   21,704","   9,568","   2,763",   729,   254,
, 女 ,"   1,920,512","   14,472","   64,122","   15,692","   15,958","   15,879","   16,593","   102,368","   120,852","   131,116","   138,345","   175,149","   172,115","   159,635","   166,047","   173,063","   158,782","   126,685","   66,789","   54,737","   38,988","   26,764","   17,829","   8,669","   2,999",   792,   194,
, 計 ,"   460,902","   3,461","   15,822","   3,752","   3,887","   3,955","   4,228","   25,244","   32,098","   33,800","   33,607","   38,999","   35,166","   34,548","   36,296","   36,887","   32,519","   26,820","   16,509","   18,692","   15,874","   12,275","   7,546","   3,471","   1,005",   230,   33,
 宜 蘭 縣 , 男 ,"   235,855","   1,838","   8,209","   1,962","   2,004","   2,047","   2,196","   13,235","   16,685","   17,583","   17,339","   19,937","   18,097","   18,046","   19,045","   19,104","   16,535","   13,459","   8,192","   9,118","   7,644","   6,008","   3,783","   1,522",   364,   93,   19,
, 女 ,"   225,047","   1,623","   7,613","   1,790","   1,883","   1,908","   2,032","   12,009","   15,413","   16,217","   16,268","   19,062","   17,069","   16,502","   17,251","   17,783","   15,984","   13,361","   8,317","   9,574","   8,230","   6,267","   3,763","   1,949",   641,   137,   14,
, 計 ,"   1,958,686","   18,265","   82,307","   20,000","   20,044","   20,530","   21,733","   133,641","   151,933","   148,244","   140,838","   171,193","   169,700","   166,576","   166,626","   157,969","   134,322","   102,692","   56,777","   48,139","   36,274","   34,408","   25,214","   9,837","   3,019",   626,   86,
 桃 園 縣 , 男 ,"   991,492","   9,533","   43,179","   10,487","   10,543","   10,765","   11,384","   69,897","   79,288","   77,576","   72,660","   85,525","   84,335","   82,670","   82,881","   78,677","   66,174","   49,327","   26,720","   22,045","   16,566","   20,890","   16,296","   5,504","   1,432",   286,   31,
, 女 ,"   967,194","   8,732","   39,128","   9,513","   9,501","   9,765","   10,349","   63,744","   72,645","   70,668","   68,178","   85,668","   85,365","   83,906","   83,745","   79,292","   68,148","   53,365","   30,057","   26,094","   19,708","   13,518","   8,918","   4,333","   1,587",   340,   55,
, 計 ,"   503,273","   5,877","   24,475","   6,258","   6,078","   5,939","   6,200","   34,372","   36,563","   36,228","   33,038","   40,642","   44,297","   43,117","   40,285","   37,509","   30,614","   24,355","   15,538","   17,624","   14,717","   11,500","   7,722","   3,370","   1,132",   262,   36,
 新 竹 縣 , 男 ,"   259,977","   3,138","   12,812","   3,261","   3,160","   3,139","   3,252","   17,987","   19,103","   19,059","   16,945","   20,012","   21,962","   22,510","   21,432","   20,165","   16,162","   12,546","   7,849","   8,874","   7,365","   5,936","   3,998","   1,531",   480,   97,   14,
, 女 ,"   243,296","   2,739","   11,663","   2,997","   2,918","   2,800","   2,948","   16,385","   17,460","   17,169","   16,093","   20,630","   22,335","   20,607","   18,853","   17,344","   14,452","   11,809","   7,689","   8,750","   7,352","   5,564","   3,724","   1,839",   652,   165,   22,
, 計 ,"   560,397","   4,699","   21,231","   5,193","   5,166","   5,193","   5,679","   32,431","   37,203","   40,696","   41,557","   48,466","   42,543","   40,879","   41,704","   44,004","   38,270","   31,978","   20,727","   22,140","   19,420","   15,811","   10,097","   4,643","   1,534",   319,   45,
 苗 栗 縣 , 男 ,"   292,352","   2,460","   11,275","   2,768","   2,687","   2,743","   3,077","   17,133","   19,441","   21,132","   21,354","   25,086","   22,494","   22,092","   22,729","   23,695","   20,390","   16,506","   10,553","   11,241","   9,624","   7,647","   4,761","   1,990",   617,   114,   18,
, 女 ,"   268,045","   2,239","   9,956","   2,425","   2,479","   2,450","   2,602","   15,298","   17,762","   19,564","   20,203","   23,380","   20,049","   18,787","   18,975","   20,309","   17,880","   15,472","   10,174","   10,899","   9,796","   8,164","   5,336","   2,653",   917,   205,   27,
, 計 ,"   1,557,944","   13,824","   61,948","   15,256","   15,118","   15,277","   16,297","   97,215","   114,335","   120,548","   124,100","   147,464","   132,488","   117,600","   122,221","   123,454","   109,600","   87,606","   50,351","   44,464","   34,847","   28,133","   17,924","   7,216","   2,129",   439,   38,
 臺 中 縣 , 男 ,"   791,716","   7,115","   32,170","   7,830","   7,950","   7,934","   8,456","   50,534","   59,399","   62,831","   64,043","   75,235","   67,830","   59,694","   61,314","   61,519","   54,719","   43,710","   24,961","   21,562","   16,491","   14,510","   9,696","   3,407",   813,   153,   10,
