 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
           中 華 民 國 98 年 底 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,   單位：人 ,
 區  域  別 , 性別 , 總     計 , 0 ,,, 1～4 ,,, 5～9 , 10～14 , 15～19 , 20～24 , 25～29 , 30～34 , 35～39 , 40～44 , 45～49 , 50～54 , 55～59 , 60～64 , 65～69 , 70～74 , 75～79 , 80～84 , 85～89 , 90～94 , 95～99 , 100+ ,
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,
, 計 ,"   23,119,772","   182,599","   819,561","   198,792","   205,828","   206,680","   208,261","   1,255,927","   1,519,931","   1,618,327","   1,589,926","   1,950,841","   1,982,094","   1,804,994","   1,868,115","   1,905,475","   1,755,730","   1,497,842","   910,762","   764,075","   627,518","   496,030","   349,408","   159,031","   48,364","   11,221","   2,001",
 總　　計 , 男 ,"   11,636,734","   94,987","   428,026","   103,901","   107,606","   108,014","   108,505","   656,333","   790,956","   843,652","   819,263","   985,114","   990,622","   899,207","   937,285","   954,649","   872,033","   737,598","   443,885","   364,463","   289,278","   242,555","   182,732","   76,946","   21,348","   4,825",   977,
, 女 ,"   11,483,038","   87,612","   391,535","   94,891","   98,222","   98,666","   99,756","   599,594","   728,975","   774,675","   770,663","   965,727","   991,472","   905,787","   930,830","   950,826","   883,697","   760,244","   466,877","   399,612","   338,240","   253,475","   166,676","   82,085","   27,016","   6,396","   1,024",
, 計 ,"   23,016,050","   181,462","   815,430","   197,648","   204,717","   205,721","   207,344","   1,251,562","   1,515,269","   1,611,618","   1,582,098","   1,942,504","   1,973,461","   1,796,853","   1,859,729","   1,896,665","   1,746,920","   1,490,776","   906,350","   760,409","   624,251","   493,545","   347,934","   158,140","   48,016","   11,095","   1,963",
 臺灣地區 , 男 ,"   11,582,510","   94,419","   425,849","   103,318","   106,980","   107,512","   108,039","   654,051","   788,537","   840,239","   815,266","   980,931","   986,392","   894,793","   932,575","   949,771","   867,253","   733,886","   441,548","   362,468","   287,466","   241,260","   182,205","   76,627","   21,221","   4,788",   965,
, 女 ,"   11,433,540","   87,043","   389,581","   94,330","   97,737","   98,209","   99,305","   597,511","   726,732","   771,379","   766,832","   961,573","   987,069","   902,060","   927,154","   946,894","   879,667","   756,890","   464,802","   397,941","   336,785","   252,285","   165,729","   81,513","   26,795","   6,307",   998,
, 計 ,"   18,880,708","   151,898","   677,737","   164,235","   169,612","   171,293","   172,597","   1,044,971","   1,255,876","   1,350,133","   1,327,830","   1,624,389","   1,637,480","   1,469,387","   1,517,140","   1,549,626","   1,408,287","   1,184,281","   716,415","   609,446","   507,477","   401,765","   277,341","   122,741","   36,861","   8,226","   1,401",
臺  灣  省, 男 ,"   9,566,411","   79,244","   354,056","   85,929","   88,731","   89,664","   89,732","   546,360","   653,780","   703,908","   684,732","   822,732","   827,230","   742,616","   772,335","   785,542","   707,027","   588,404","   351,669","   292,916","   235,969","   196,083","   144,200","   57,979","   15,585","   3,377",   667,
, 女 ,"   9,314,297","   72,654","   323,681","   78,306","   80,881","   81,629","   82,865","   498,611","   602,096","   646,225","   643,098","   801,657","   810,250","   726,771","   744,805","   764,084","   701,260","   595,877","   364,746","   316,530","   271,508","   205,682","   133,141","   64,762","   21,276","   4,849",   734,
, 計 ,"   3,873,653","   30,601","   134,220","   32,822","   33,818","   34,118","   33,462","   204,187","   243,002","   275,386","   275,951","   347,696","   361,054","   318,907","   320,110","   333,039","   311,831","   260,109","   146,206","   107,986","   76,451","   56,860","   41,755","   19,804","   6,318","   1,699",   481,
 臺 北 縣 , 男 ,"   1,927,574","   15,937","   69,937","   17,243","   17,630","   17,835","   17,229","   106,821","   125,676","   143,979","   141,699","   175,930","   179,648","   158,587","   154,981","   159,086","   148,455","   124,187","   70,579","   51,389","   34,630","   28,640","   22,904","   10,314","   3,106",   823,   266,
